08/29/24 13:20:50 Training initiated with the following parameters:
Model Parameters: (('image_channels', 3), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 3), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 3), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

08/29/24 13:20:51 (0m 00s) | [1/2] Batch 0 (0.706s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.975 | Loss: 11.33 | Abs. Loss: 11.33
08/29/24 13:20:51 (0m 01s) | [1/2] Batch 1 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.972 | Loss: 6.59 | Abs. Loss: 17.92
08/29/24 13:20:51 (0m 01s) | [1/2] Batch 2 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.961 | Loss: 13.89 | Abs. Loss: 31.81
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 3 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.921 | Loss: 3.56 | Abs. Loss: 35.37
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 4 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.827 | Loss: 3.52 | Abs. Loss: 38.89
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 5 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.721 | Loss: 11.39 | Abs. Loss: 50.29
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 6 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.694 | Loss: 5.40 | Abs. Loss: 55.68
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 7 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.18 | Abs. Loss: 58.86
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 8 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.96 | Abs. Loss: 60.82
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 9 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.57 | Abs. Loss: 62.39
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 10 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.82 | Abs. Loss: 64.21
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 11 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.43 | Abs. Loss: 65.64
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 12 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.44 | Abs. Loss: 67.07
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 13 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.58 | Abs. Loss: 68.65
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 14 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.54 | Abs. Loss: 70.19
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 15 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.40 | Abs. Loss: 71.59
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 16 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.46 | Abs. Loss: 73.05
08/29/24 13:20:52 (0m 01s) | [1/2] Batch 17 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.13 | Abs. Loss: 74.18
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 18 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.33 | Abs. Loss: 75.51
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 19 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.26 | Abs. Loss: 76.78
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 20 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.04 | Abs. Loss: 77.81
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 21 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.31 | Abs. Loss: 79.12
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 22 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.08 | Abs. Loss: 80.20
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 23 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.02 | Abs. Loss: 81.22
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 24 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.04 | Abs. Loss: 82.26
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 25 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.90 | Abs. Loss: 83.16
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 26 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.90 | Abs. Loss: 84.06
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 27 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.86 | Abs. Loss: 84.92
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 28 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.88 | Abs. Loss: 85.80
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 29 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.85 | Abs. Loss: 86.66
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 30 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.84 | Abs. Loss: 87.50
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 31 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.81 | Abs. Loss: 88.31
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 32 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.79 | Abs. Loss: 89.10
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 33 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.77 | Abs. Loss: 89.87
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 34 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.79 | Abs. Loss: 90.66
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 35 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.78 | Abs. Loss: 91.43
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 36 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.77 | Abs. Loss: 92.21
08/29/24 13:20:52 (0m 02s) | [1/2] Batch 37 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.75 | Abs. Loss: 92.96
08/29/24 13:20:53 (0m 02s) | [1/2] Batch 38 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.76 | Abs. Loss: 93.72
08/29/24 13:20:53 (0m 02s) | [1/2] Batch 39 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.75 | Abs. Loss: 94.47
08/29/24 13:20:53 (0m 02s) | [1/2] Batch 40 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.75 | Abs. Loss: 95.21
08/29/24 13:20:53 (0m 02s) | [1/2] Batch 41 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.75 | Abs. Loss: 95.96
08/29/24 13:20:53 (0m 02s) | [1/2] Batch 42 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.74 | Abs. Loss: 96.70
08/29/24 13:20:53 (0m 02s) | [1/2] Batch 43 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.74 | Abs. Loss: 97.44
08/29/24 13:20:53 (0m 02s) | [1/2] Batch 44 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.73 | Abs. Loss: 98.18
08/29/24 13:20:53 (0m 02s) | [1/2] Batch 45 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.73 | Abs. Loss: 98.91
