09/03/24 10:03:18 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/03/24 10:03:18 Train Loader Image Data Size: (28, 28)
09/03/24 10:03:19 (0m 00s) | [1/2] Batch 0 (0.726s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.979 | Loss: 9.70 | Abs. Loss: 9.70
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 1 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.972 | Loss: 9.01 | Abs. Loss: 18.71
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 2 (0.007s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.948 | Loss: 17.93 | Abs. Loss: 36.64
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 3 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.874 | Loss: 3.58 | Abs. Loss: 40.22
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 4 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.756 | Loss: 3.35 | Abs. Loss: 43.57
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 5 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.698 | Loss: 1.84 | Abs. Loss: 45.41
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 6 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.83 | Abs. Loss: 47.24
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 7 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.27 | Abs. Loss: 49.51
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 8 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.14 | Abs. Loss: 50.66
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 9 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.60 | Abs. Loss: 53.26
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 10 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.33 | Abs. Loss: 54.59
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 11 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.45 | Abs. Loss: 56.03
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 12 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.67 | Abs. Loss: 57.70
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 13 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.33 | Abs. Loss: 59.03
09/03/24 10:03:20 (0m 01s) | [1/2] Batch 14 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.08 | Abs. Loss: 60.11
09/03/24 10:03:20 (0m 02s) | [1/2] Batch 15 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.03 | Abs. Loss: 61.14
09/03/24 10:03:20 (0m 02s) | [1/2] Batch 16 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.20 | Abs. Loss: 62.33
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 17 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.12 | Abs. Loss: 63.46
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 18 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.95 | Abs. Loss: 64.41
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 19 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.95 | Abs. Loss: 65.36
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 20 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.92 | Abs. Loss: 66.28
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 21 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.88 | Abs. Loss: 67.16
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 22 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.95 | Abs. Loss: 68.10
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 23 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.89 | Abs. Loss: 69.00
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 24 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.82 | Abs. Loss: 69.82
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 25 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.83 | Abs. Loss: 70.65
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 26 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.78 | Abs. Loss: 71.43
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 27 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.79 | Abs. Loss: 72.22
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 28 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.78 | Abs. Loss: 73.00
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 29 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.78 | Abs. Loss: 73.78
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 30 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.77 | Abs. Loss: 74.54
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 31 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.76 | Abs. Loss: 75.30
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 32 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.75 | Abs. Loss: 76.05
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 33 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.75 | Abs. Loss: 76.80
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 34 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.73 | Abs. Loss: 77.53
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 35 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.73 | Abs. Loss: 78.26
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 36 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.72 | Abs. Loss: 78.98
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 37 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.73 | Abs. Loss: 79.71
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 38 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.72 | Abs. Loss: 80.43
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 39 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.72 | Abs. Loss: 81.15
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 40 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.72 | Abs. Loss: 81.88
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 41 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.72 | Abs. Loss: 82.60
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 42 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.72 | Abs. Loss: 83.32
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 43 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.71 | Abs. Loss: 84.03
09/03/24 10:03:21 (0m 02s) | [1/2] Batch 44 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.71 | Abs. Loss: 84.74
09/03/24 10:03:21 (0m 03s) | [1/2] Batch 45 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.71 | Abs. Loss: 85.44
