09/10/24 10:34:53 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/10/24 10:34:53 Train Loader Image Data Size: (28, 28)
09/10/24 10:34:54 (0m 00s) | [1/10000] Batch 0 (0.682s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0125 | Abs. Loss: 10.01
09/10/24 10:34:54 (0m 01s) | [1/10000] Batch 1 (0.006s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0170 | Abs. Loss: 20.03
09/10/24 10:34:54 (0m 01s) | [1/10000] Batch 2 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9895 | Abs. Loss: 30.02
09/10/24 10:34:54 (0m 01s) | [1/10000] Batch 3 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9992 | Abs. Loss: 40.02
09/10/24 10:34:54 (0m 01s) | [1/10000] Batch 4 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0137 | Abs. Loss: 50.03
09/10/24 10:34:54 (0m 01s) | [1/10000] Batch 5 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9840 | Abs. Loss: 60.02
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 6 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 9.9880 | Abs. Loss: 70.00
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 7 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0270 | Abs. Loss: 80.03
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 8 (0.005s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0029 | Abs. Loss: 90.03
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 9 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.967 | Loss: 9.9851 | Abs. Loss: 100.02
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 10 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0398 | Abs. Loss: 110.06
09/10/24 10:34:55 (0m 01s) | [1/10000] Batch 11 (0.004s) | LR: 1e-10 | KLW: 1, Rec. Loss: 0.968 | Loss: 10.0105 | Abs. Loss: 120.07
