09/26/24 15:14:08 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 15:14:08 Train Loader Image Data Size: (28, 28)
09/26/24 15:14:09 (0m 00s) | [1/10000] Batch 0 (0.692s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.145, Rec. Loss: 0.26449871 | Total Loss: 0.26449871
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 1 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.119, Rec. Loss: 0.26460543 | Total Loss: 0.26460543
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 2 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.115, Rec. Loss: 0.26457870 | Total Loss: 0.26457870
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 3 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.111, Rec. Loss: 0.26458019 | Total Loss: 0.26458019
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.116, Rec. Loss: 0.26455146 | Total Loss: 0.26455146
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.126, Rec. Loss: 0.26448560 | Total Loss: 0.26448560
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 6 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.076, Rec. Loss: 0.26464131 | Total Loss: 0.26464131
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 7 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.110, Rec. Loss: 0.26449752 | Total Loss: 0.26449752
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 8 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.111, Rec. Loss: 0.26449090 | Total Loss: 0.26449090
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 9 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.148, Rec. Loss: 0.26432598 | Total Loss: 0.26432598
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 10 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.104, Rec. Loss: 0.26447499 | Total Loss: 0.26447499
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 11 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.110, Rec. Loss: 0.26440424 | Total Loss: 0.26440424
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 12 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.112, Rec. Loss: 0.26439467 | Total Loss: 0.26439467
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 13 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.124, Rec. Loss: 0.26433256 | Total Loss: 0.26433256
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 14 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.066, Rec. Loss: 0.26453832 | Total Loss: 0.26453832
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 15 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.059, Rec. Loss: 0.26454577 | Total Loss: 0.26454577
09/26/24 15:14:10 (0m 01s) | [1/10000] Batch 16 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.100, Rec. Loss: 0.26436201 | Total Loss: 0.26436201
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 17 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.088, Rec. Loss: 0.26442418 | Total Loss: 0.26442418
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 18 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.118, Rec. Loss: 0.26426268 | Total Loss: 0.26426268
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 19 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.067, Rec. Loss: 0.26444650 | Total Loss: 0.26444650
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 20 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.074, Rec. Loss: 0.26440650 | Total Loss: 0.26440650
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 21 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.073, Rec. Loss: 0.26441854 | Total Loss: 0.26441854
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 22 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.091, Rec. Loss: 0.26432905 | Total Loss: 0.26432905
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 23 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.082, Rec. Loss: 0.26435047 | Total Loss: 0.26435047
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 24 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.079, Rec. Loss: 0.26436409 | Total Loss: 0.26436409
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 25 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.098, Rec. Loss: 0.26425761 | Total Loss: 0.26425761
09/26/24 15:14:10 (0m 02s) | [1/10000] Batch 26 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.115, Rec. Loss: 0.26417184 | Total Loss: 0.26417184
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 27 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.080, Rec. Loss: 0.26431084 | Total Loss: 0.26431084
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 28 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.068, Rec. Loss: 0.26435494 | Total Loss: 0.26435494
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 29 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.057, Rec. Loss: 0.26438239 | Total Loss: 0.26438239
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 30 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.086, Rec. Loss: 0.26428866 | Total Loss: 0.26428866
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 31 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.109, Rec. Loss: 0.26416135 | Total Loss: 0.26416135
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 32 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.054, Rec. Loss: 0.26438057 | Total Loss: 0.26438057
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 33 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.075, Rec. Loss: 0.26428765 | Total Loss: 0.26428765
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 34 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.084, Rec. Loss: 0.26426759 | Total Loss: 0.26426759
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 35 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.090, Rec. Loss: 0.26421398 | Total Loss: 0.26421398
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 36 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.043, Rec. Loss: 0.26437491 | Total Loss: 0.26437491
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 37 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.135, Rec. Loss: 0.26401767 | Total Loss: 0.26401767
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 38 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.106, Rec. Loss: 0.26412475 | Total Loss: 0.26412475
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 39 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.060, Rec. Loss: 0.26430520 | Total Loss: 0.26430520
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 40 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.084, Rec. Loss: 0.26423088 | Total Loss: 0.26423088
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 41 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.116, Rec. Loss: 0.26409051 | Total Loss: 0.26409051
09/26/24 15:14:11 (0m 02s) | [1/10000] Batch 42 (0.004s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.017, Rec. Loss: 0.26448846 | Total Loss: 0.26448846
