09/26/24 17:53:27 Textual logger initiated. Now configuring tensorboard writer.
09/26/24 17:53:27 Tensorboard writer created. Tensorboard logs will be saved to "./Training Logs/09-26-24__17-53-27/tensorboard".
09/26/24 17:53:27 Starting Tensorboard thread...
09/26/24 17:53:30 Tensorboard is ready at http://localhost:6006/.
09/26/24 17:53:30 Continuing to training script...
09/26/24 17:53:33 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 17:53:33 Train Loader Image Data Size: (28, 28)
09/26/24 17:53:34 (0m 00s) | [1/10000] Batch 0 (0.948s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.276, Rec. Loss: 0.24177049 | Total Loss: 0.24177049
09/26/24 17:53:35 (0m 01s) | [1/10000] Batch 1 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.236, Rec. Loss: 0.24186434 | Total Loss: 0.24186434
09/26/24 17:53:35 (0m 01s) | [1/10000] Batch 2 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.283, Rec. Loss: 0.24171034 | Total Loss: 0.24171034
09/26/24 17:53:35 (0m 01s) | [1/10000] Batch 3 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.226, Rec. Loss: 0.24183667 | Total Loss: 0.24183667
09/26/24 17:53:35 (0m 01s) | [1/10000] Batch 4 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.237, Rec. Loss: 0.24179344 | Total Loss: 0.24179344
09/26/24 17:53:35 (0m 01s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.225, Rec. Loss: 0.24184859 | Total Loss: 0.24184859
09/26/24 17:53:35 (0m 01s) | [1/10000] Batch 6 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.237, Rec. Loss: 0.24177624 | Total Loss: 0.24177624
09/26/24 17:53:35 (0m 01s) | [1/10000] Batch 7 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.264, Rec. Loss: 0.24167715 | Total Loss: 0.24167715
09/26/24 17:53:35 (0m 01s) | [1/10000] Batch 8 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.234, Rec. Loss: 0.24175099 | Total Loss: 0.24175099
09/26/24 17:53:35 (0m 02s) | [1/10000] Batch 9 (0.005s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.208, Rec. Loss: 0.24182582 | Total Loss: 0.24182582
09/26/24 17:53:35 (0m 02s) | [1/10000] Batch 10 (0.006s) | LR: 1e-06 | KLW: 0, KLD (loss): 9.188, Rec. Loss: 0.24187431 | Total Loss: 0.24187431
