09/26/24 19:38:36 Textual logger initiated. Now configuring tensorboard writer.
09/26/24 19:38:36 Tensorboard writers created. Tensorboard logs will be saved to "Training Logs/09-26-24__19-38-36/tensorboard".
09/26/24 19:38:36 Starting Tensorboard thread...
09/26/24 19:38:40 Tensorboard is ready at http://localhost:6006/.
09/26/24 19:38:40 Continuing to training script...
09/26/24 19:38:43 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/26/24 19:38:43 Train Loader Image Data Size: (28, 28)
09/26/24 19:38:45 (0m 01s) | [1/10000] Batch 0 (1.166s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.197, Rec. Loss: 0.26181889 | Total Loss: 0.26181889
09/26/24 19:38:46 (0m 02s) | [1/10000] Batch 1 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.190, Rec. Loss: 0.26184368 | Total Loss: 0.26184368
09/26/24 19:38:46 (0m 03s) | [1/10000] Batch 2 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.168, Rec. Loss: 0.26196644 | Total Loss: 0.26196644
09/26/24 19:38:46 (0m 03s) | [1/10000] Batch 3 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.152, Rec. Loss: 0.26207221 | Total Loss: 0.26207221
09/26/24 19:38:47 (0m 03s) | [1/10000] Batch 4 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.158, Rec. Loss: 0.26194531 | Total Loss: 0.26194531
09/26/24 19:38:47 (0m 03s) | [1/10000] Batch 5 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.158, Rec. Loss: 0.26187506 | Total Loss: 0.26187506
09/26/24 19:38:47 (0m 04s) | [1/10000] Batch 6 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.146, Rec. Loss: 0.26195619 | Total Loss: 0.26195619
09/26/24 19:38:47 (0m 04s) | [1/10000] Batch 7 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.160, Rec. Loss: 0.26179680 | Total Loss: 0.26179680
09/26/24 19:38:48 (0m 04s) | [1/10000] Batch 8 (0.021s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.130, Rec. Loss: 0.26198956 | Total Loss: 0.26198956
09/26/24 19:38:48 (0m 04s) | [1/10000] Batch 9 (0.023s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.130, Rec. Loss: 0.26190481 | Total Loss: 0.26190481
09/26/24 19:38:48 (0m 05s) | [1/10000] Batch 10 (0.024s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.141, Rec. Loss: 0.26183644 | Total Loss: 0.26183644
09/26/24 19:38:49 (0m 05s) | [1/10000] Batch 11 (0.025s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.114, Rec. Loss: 0.26193419 | Total Loss: 0.26193419
09/26/24 19:38:49 (0m 05s) | [1/10000] Batch 12 (0.024s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.130, Rec. Loss: 0.26179984 | Total Loss: 0.26179984
09/26/24 19:38:49 (0m 06s) | [1/10000] Batch 13 (0.024s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.113, Rec. Loss: 0.26183391 | Total Loss: 0.26183391
09/26/24 19:38:49 (0m 06s) | [1/10000] Batch 14 (0.023s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.116, Rec. Loss: 0.26187152 | Total Loss: 0.26187152
09/26/24 19:38:50 (0m 06s) | [1/10000] Batch 15 (0.027s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.117, Rec. Loss: 0.26176956 | Total Loss: 0.26176956
09/26/24 19:38:50 (0m 07s) | [1/10000] Batch 16 (0.058s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.090, Rec. Loss: 0.26196519 | Total Loss: 0.26196519
09/26/24 19:38:50 (0m 07s) | [1/10000] Batch 17 (0.058s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.089, Rec. Loss: 0.26190928 | Total Loss: 0.26190928
09/26/24 19:38:51 (0m 07s) | [1/10000] Batch 18 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.086, Rec. Loss: 0.26189539 | Total Loss: 0.26189539
09/26/24 19:38:51 (0m 07s) | [1/10000] Batch 19 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.104, Rec. Loss: 0.26173928 | Total Loss: 0.26173928
09/26/24 19:38:51 (0m 08s) | [1/10000] Batch 20 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.099, Rec. Loss: 0.26174068 | Total Loss: 0.26174068
09/26/24 19:38:51 (0m 08s) | [1/10000] Batch 21 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.104, Rec. Loss: 0.26172346 | Total Loss: 0.26172346
09/26/24 19:38:52 (0m 08s) | [1/10000] Batch 22 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.066, Rec. Loss: 0.26191354 | Total Loss: 0.26191354
09/26/24 19:38:52 (0m 08s) | [1/10000] Batch 23 (0.008s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.095, Rec. Loss: 0.26172307 | Total Loss: 0.26172307
09/26/24 19:38:52 (0m 09s) | [1/10000] Batch 24 (0.007s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.055, Rec. Loss: 0.26189312 | Total Loss: 0.26189312
09/26/24 19:38:52 (0m 09s) | [1/10000] Batch 25 (0.022s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.075, Rec. Loss: 0.26180798 | Total Loss: 0.26180798
09/26/24 19:38:53 (0m 09s) | [1/10000] Batch 26 (0.022s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.072, Rec. Loss: 0.26180449 | Total Loss: 0.26180449
09/26/24 19:38:53 (0m 09s) | [1/10000] Batch 27 (0.023s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.057, Rec. Loss: 0.26186693 | Total Loss: 0.26186693
09/26/24 19:38:53 (0m 10s) | [1/10000] Batch 28 (0.023s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.056, Rec. Loss: 0.26186413 | Total Loss: 0.26186413
09/26/24 19:38:53 (0m 10s) | [1/10000] Batch 29 (0.025s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.068, Rec. Loss: 0.26175320 | Total Loss: 0.26175320
09/26/24 19:38:54 (0m 10s) | [1/10000] Batch 30 (0.042s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.050, Rec. Loss: 0.26185498 | Total Loss: 0.26185498
09/26/24 19:38:54 (0m 10s) | [1/10000] Batch 31 (0.018s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.059, Rec. Loss: 0.26180506 | Total Loss: 0.26180506
09/26/24 19:38:54 (0m 11s) | [1/10000] Batch 32 (0.019s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.055, Rec. Loss: 0.26181513 | Total Loss: 0.26181513
09/26/24 19:38:54 (0m 11s) | [1/10000] Batch 33 (0.019s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.040, Rec. Loss: 0.26184931 | Total Loss: 0.26184931
09/26/24 19:38:55 (0m 11s) | [1/10000] Batch 34 (0.019s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.050, Rec. Loss: 0.26174125 | Total Loss: 0.26174125
09/26/24 19:38:55 (0m 11s) | [1/10000] Batch 35 (0.019s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.061, Rec. Loss: 0.26174924 | Total Loss: 0.26174924
09/26/24 19:38:55 (0m 12s) | [1/10000] Batch 36 (0.019s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.044, Rec. Loss: 0.26176620 | Total Loss: 0.26176620
09/26/24 19:38:55 (0m 12s) | [1/10000] Batch 37 (0.019s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.045, Rec. Loss: 0.26177436 | Total Loss: 0.26177436
09/26/24 19:38:56 (0m 12s) | [1/10000] Batch 38 (0.040s) | LR: 1e-06 | KLW: 0, KLD (loss): 12.051, Rec. Loss: 0.26168859 | Total Loss: 0.26168859
