10/04/24 13:20:51 Textual logger initiated. Now configuring tensorboard writer.
10/04/24 13:20:51 Tensorboard writers created. Tensorboard logs will be saved to "./Training Logs/10-04-24__13-20-51/tensorboard".
10/04/24 13:20:51 Starting Tensorboard thread...
10/04/24 13:20:55 Tensorboard is ready at http://localhost:6006/.
10/04/24 13:20:55 Continuing to training script...
10/04/24 13:20:58 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

10/04/24 13:20:58 Train Loader Image Data Size: (28, 28)
10/04/24 13:20:59 (0:00:01.18) | [1/10000] Batch 0 (1.146s) | LR: 1e-08 | KLW: 0, KLD (loss): 4914.667, Rec. Loss: 13952.25781250 | Total Loss: 13952.25781250
10/04/24 13:21:00 (0:00:02.44) | [1/10000] Batch 1 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4668.227, Rec. Loss: 13308.87988281 | Total Loss: 13308.87988281
10/04/24 13:21:00 (0:00:02.48) | [1/10000] Batch 2 (0.009s) | LR: 1e-08 | KLW: 0, KLD (loss): 4594.467, Rec. Loss: 13289.26171875 | Total Loss: 13289.26171875
10/04/24 13:21:00 (0:00:02.52) | [1/10000] Batch 3 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4835.531, Rec. Loss: 13851.82226562 | Total Loss: 13851.82226562
10/04/24 13:21:00 (0:00:02.56) | [1/10000] Batch 4 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 5061.399, Rec. Loss: 14348.09667969 | Total Loss: 14348.09667969
10/04/24 13:21:00 (0:00:02.60) | [1/10000] Batch 5 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4635.737, Rec. Loss: 13289.05957031 | Total Loss: 13289.05957031
10/04/24 13:21:00 (0:00:02.64) | [1/10000] Batch 6 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4605.431, Rec. Loss: 13044.20703125 | Total Loss: 13044.20703125
10/04/24 13:21:00 (0:00:02.68) | [1/10000] Batch 7 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 5036.919, Rec. Loss: 14294.67089844 | Total Loss: 14294.67089844
10/04/24 13:21:00 (0:00:02.71) | [1/10000] Batch 8 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4374.031, Rec. Loss: 12460.56347656 | Total Loss: 12460.56347656
10/04/24 13:21:00 (0:00:02.75) | [1/10000] Batch 9 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4703.858, Rec. Loss: 13430.46972656 | Total Loss: 13430.46972656
10/04/24 13:21:00 (0:00:02.79) | [1/10000] Batch 10 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4700.320, Rec. Loss: 13434.88281250 | Total Loss: 13434.88281250
10/04/24 13:21:01 (0:00:02.83) | [1/10000] Batch 11 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4951.840, Rec. Loss: 14021.56542969 | Total Loss: 14021.56542969
10/04/24 13:21:01 (0:00:02.87) | [1/10000] Batch 12 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4793.655, Rec. Loss: 13702.03613281 | Total Loss: 13702.03613281
10/04/24 13:21:01 (0:00:02.91) | [1/10000] Batch 13 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4430.815, Rec. Loss: 12521.86132812 | Total Loss: 12521.86132812
10/04/24 13:21:01 (0:00:02.95) | [1/10000] Batch 14 (0.009s) | LR: 1e-08 | KLW: 0, KLD (loss): 4588.811, Rec. Loss: 13087.77832031 | Total Loss: 13087.77832031
10/04/24 13:21:01 (0:00:02.99) | [1/10000] Batch 15 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4557.026, Rec. Loss: 12978.14648438 | Total Loss: 12978.14648438
10/04/24 13:21:01 (0:00:03.02) | [1/10000] Batch 16 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 5020.309, Rec. Loss: 14079.13671875 | Total Loss: 14079.13671875
10/04/24 13:21:01 (0:00:03.06) | [1/10000] Batch 17 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4846.799, Rec. Loss: 13715.21777344 | Total Loss: 13715.21777344
10/04/24 13:21:01 (0:00:03.10) | [1/10000] Batch 18 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4803.209, Rec. Loss: 13600.76367188 | Total Loss: 13600.76367188
10/04/24 13:21:01 (0:00:03.14) | [1/10000] Batch 19 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4929.485, Rec. Loss: 13952.97265625 | Total Loss: 13952.97265625
10/04/24 13:21:01 (0:00:03.18) | [1/10000] Batch 20 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4695.561, Rec. Loss: 13406.91796875 | Total Loss: 13406.91796875
10/04/24 13:21:01 (0:00:03.22) | [1/10000] Batch 21 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4726.978, Rec. Loss: 13536.30371094 | Total Loss: 13536.30371094
10/04/24 13:21:01 (0:00:03.26) | [1/10000] Batch 22 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4751.723, Rec. Loss: 13379.64941406 | Total Loss: 13379.64941406
10/04/24 13:21:01 (0:00:03.30) | [1/10000] Batch 23 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4820.464, Rec. Loss: 13661.61425781 | Total Loss: 13661.61425781
10/04/24 13:21:01 (0:00:03.34) | [1/10000] Batch 24 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4561.920, Rec. Loss: 12746.41503906 | Total Loss: 12746.41503906
10/04/24 13:21:01 (0:00:03.38) | [1/10000] Batch 25 (0.007s) | LR: 1e-08 | KLW: 0, KLD (loss): 4825.648, Rec. Loss: 13772.27636719 | Total Loss: 13772.27636719
10/04/24 13:21:01 (0:00:03.42) | [1/10000] Batch 26 (0.008s) | LR: 1e-08 | KLW: 0, KLD (loss): 4606.018, Rec. Loss: 12917.75683594 | Total Loss: 12917.75683594
