10/04/24 22:56:10 Textual logger initiated. Now configuring tensorboard writer.
10/04/24 22:56:10 Tensorboard writers created. Tensorboard logs will be saved to "./Training Logs/10-04-24__22-56-10/tensorboard".
10/04/24 22:56:10 Starting Tensorboard thread...
10/04/24 22:56:14 Tensorboard is ready at http://localhost:6006/.
10/04/24 22:56:14 Continuing to training script...
10/04/24 22:56:17 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('h_dim', 1024), ('latent_dim', 128))
10/04/24 22:56:17 Train Loader Image Data Size: (28, 28)
10/04/24 22:56:18 (0:00:00.80) | [1/10000] Batch 0 (0.769s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15058.193, Rec. Loss: 14631.21289062 | Total Loss: 14646.27148438
10/04/24 22:56:18 (0:00:01.08) | [1/10000] Batch 1 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 15226.566, Rec. Loss: 14800.70507812 | Total Loss: 14815.93164062
10/04/24 22:56:18 (0:00:01.12) | [1/10000] Batch 2 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13929.258, Rec. Loss: 13536.39453125 | Total Loss: 13550.32421875
10/04/24 22:56:18 (0:00:01.16) | [1/10000] Batch 3 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13114.789, Rec. Loss: 12746.71093750 | Total Loss: 12759.82617188
10/04/24 22:56:18 (0:00:01.19) | [1/10000] Batch 4 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12831.424, Rec. Loss: 12424.36132812 | Total Loss: 12437.19238281
10/04/24 22:56:18 (0:00:01.23) | [1/10000] Batch 5 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14063.207, Rec. Loss: 13607.82031250 | Total Loss: 13621.88378906
10/04/24 22:56:18 (0:00:01.26) | [1/10000] Batch 6 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14699.646, Rec. Loss: 14309.58007812 | Total Loss: 14324.27929688
10/04/24 22:56:18 (0:00:01.30) | [1/10000] Batch 7 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13424.051, Rec. Loss: 13053.28027344 | Total Loss: 13066.70410156
10/04/24 22:56:18 (0:00:01.34) | [1/10000] Batch 8 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13005.373, Rec. Loss: 12629.91308594 | Total Loss: 12642.91894531
10/04/24 22:56:18 (0:00:01.37) | [1/10000] Batch 9 (0.006s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 12761.712, Rec. Loss: 12413.10058594 | Total Loss: 12425.86230469
10/04/24 22:56:18 (0:00:01.41) | [1/10000] Batch 10 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 14419.325, Rec. Loss: 14027.04296875 | Total Loss: 14041.46191406
10/04/24 22:56:18 (0:00:01.44) | [1/10000] Batch 11 (0.005s) | LR: 1e-08 | KLW: 0.001, KLD (loss): 13368.918, Rec. Loss: 13011.40527344 | Total Loss: 13024.77441406
