09/09/24 21:14:18 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/09/24 21:14:18 Train Loader Image Data Size: (28, 28)
09/09/24 21:14:19 (0m 00s) | [1/15] Batch 0 (0.679s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.975 | Loss: 0.97 | Abs. Loss: 0.97
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 1 (0.012s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.974 | Loss: 0.97 | Abs. Loss: 1.95
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.974 | Loss: 0.97 | Abs. Loss: 2.92
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.973 | Loss: 0.97 | Abs. Loss: 3.90
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.972 | Loss: 0.97 | Abs. Loss: 4.87
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.972 | Loss: 0.97 | Abs. Loss: 5.84
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 6 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.971 | Loss: 0.97 | Abs. Loss: 6.81
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 7 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.969 | Loss: 0.97 | Abs. Loss: 7.78
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 8 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.968 | Loss: 0.97 | Abs. Loss: 8.75
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 9 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.966 | Loss: 0.97 | Abs. Loss: 9.71
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.963 | Loss: 0.96 | Abs. Loss: 10.68
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 11 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.959 | Loss: 0.96 | Abs. Loss: 11.63
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 12 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.954 | Loss: 0.95 | Abs. Loss: 12.59
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 13 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.947 | Loss: 0.95 | Abs. Loss: 13.53
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 14 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.937 | Loss: 0.94 | Abs. Loss: 14.47
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 15 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.925 | Loss: 0.92 | Abs. Loss: 15.40
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 16 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.910 | Loss: 0.91 | Abs. Loss: 16.31
09/09/24 21:14:20 (0m 01s) | [1/15] Batch 17 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.883 | Loss: 0.88 | Abs. Loss: 17.19
