09/09/24 19:51:23 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

09/09/24 19:51:23 Train Loader Image Data Size: (28, 28)
09/09/24 19:51:25 (0m 01s) | [1/150] Batch 0 (0.744s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.964 | Loss: 0.96 | Abs. Loss: 0.96
09/09/24 19:51:26 (0m 02s) | [1/150] Batch 1 (0.007s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.964 | Loss: 0.96 | Abs. Loss: 1.93
09/09/24 19:51:26 (0m 02s) | [1/150] Batch 2 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.963 | Loss: 0.96 | Abs. Loss: 2.89
09/09/24 19:51:26 (0m 02s) | [1/150] Batch 3 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.963 | Loss: 0.96 | Abs. Loss: 3.85
09/09/24 19:51:27 (0m 03s) | [1/150] Batch 4 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.962 | Loss: 0.96 | Abs. Loss: 4.82
09/09/24 19:51:27 (0m 03s) | [1/150] Batch 5 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.961 | Loss: 0.96 | Abs. Loss: 5.78
09/09/24 19:51:28 (0m 04s) | [1/150] Batch 6 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.960 | Loss: 0.96 | Abs. Loss: 6.74
09/09/24 19:51:28 (0m 04s) | [1/150] Batch 7 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.959 | Loss: 0.96 | Abs. Loss: 7.70
09/09/24 19:51:28 (0m 04s) | [1/150] Batch 8 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.957 | Loss: 0.96 | Abs. Loss: 8.65
09/09/24 19:51:29 (0m 05s) | [1/150] Batch 9 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.954 | Loss: 0.95 | Abs. Loss: 9.61
09/09/24 19:51:29 (0m 05s) | [1/150] Batch 10 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 0.951 | Loss: 0.95 | Abs. Loss: 10.56
