09/11/24 22:42:40 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 8), ('leak', 0.99), ('drop', 0.5), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 8), ('leak', 0.99), ('drop', 0.5))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('stride', 2), ('padding', 12), ('latent_dim', 8), ('leak', 0.99), ('drop', 0.5))

09/11/24 22:42:40 Train Loader Image Data Size: (28, 28)
09/11/24 22:42:41 (0m 00s) | [1/10000] Batch 0 (0.699s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.011313 | Abs. Loss: 1.01
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 1 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.011340 | Abs. Loss: 2.02
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 2 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.011178 | Abs. Loss: 3.03
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 3 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.011303 | Abs. Loss: 4.05
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 4 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.011184 | Abs. Loss: 5.06
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 5 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.011396 | Abs. Loss: 6.07
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 6 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010926 | Abs. Loss: 7.08
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 7 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010760 | Abs. Loss: 8.09
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 8 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010837 | Abs. Loss: 9.10
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 9 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010866 | Abs. Loss: 10.11
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 10 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010789 | Abs. Loss: 11.12
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 11 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010730 | Abs. Loss: 12.13
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 12 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010684 | Abs. Loss: 13.14
09/11/24 22:42:42 (0m 01s) | [1/10000] Batch 13 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010642 | Abs. Loss: 14.15
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 14 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010350 | Abs. Loss: 15.16
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 15 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010535 | Abs. Loss: 16.17
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 16 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010494 | Abs. Loss: 17.19
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 17 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010443 | Abs. Loss: 18.20
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 18 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010228 | Abs. Loss: 19.21
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 19 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010215 | Abs. Loss: 20.22
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 20 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010303 | Abs. Loss: 21.23
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 21 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010299 | Abs. Loss: 22.24
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 22 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010185 | Abs. Loss: 23.25
09/11/24 22:42:42 (0m 02s) | [1/10000] Batch 23 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010110 | Abs. Loss: 24.26
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 24 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.010161 | Abs. Loss: 25.27
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 25 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009975 | Abs. Loss: 26.28
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 26 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009961 | Abs. Loss: 27.29
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 27 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009869 | Abs. Loss: 28.30
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 28 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009817 | Abs. Loss: 29.31
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 29 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009743 | Abs. Loss: 30.32
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 30 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009636 | Abs. Loss: 31.33
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 31 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009741 | Abs. Loss: 32.34
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 32 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009366 | Abs. Loss: 33.35
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 33 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009542 | Abs. Loss: 34.35
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 34 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009392 | Abs. Loss: 35.36
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 35 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009568 | Abs. Loss: 36.37
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 36 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009275 | Abs. Loss: 37.38
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 37 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009461 | Abs. Loss: 38.39
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 38 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009268 | Abs. Loss: 39.40
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 39 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009255 | Abs. Loss: 40.41
09/11/24 22:42:43 (0m 02s) | [1/10000] Batch 40 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009094 | Abs. Loss: 41.42
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 41 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.009102 | Abs. Loss: 42.43
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 42 (0.007s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008942 | Abs. Loss: 43.44
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 43 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008980 | Abs. Loss: 44.45
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 44 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008981 | Abs. Loss: 45.46
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 45 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008933 | Abs. Loss: 46.47
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 46 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008767 | Abs. Loss: 47.47
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 47 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008704 | Abs. Loss: 48.48
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 48 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008801 | Abs. Loss: 49.49
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 49 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008758 | Abs. Loss: 50.50
09/11/24 22:42:43 (0m 03s) | [1/10000] Batch 50 (0.006s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008801 | Abs. Loss: 51.51
09/11/24 22:42:44 (0m 03s) | [1/10000] Batch 51 (0.005s) | LR: 1e-06 | KLW: 0.01, Rec. Loss: 0.973 | Loss: 1.008493 | Abs. Loss: 52.52
