# l NLEE_D5 NLEE_D6 NLEE_D56PA1	NLEE_D56PA2
3.005e+02 4.853e-05 9.995e-05 6.300e-04 4.298e-04
3.505e+02 6.016e-05 3.512e-05 5.742e-04 3.343e-04
4.005e+02 9.474e-05 6.550e-05 4.692e-04 3.096e-04
4.505e+02 4.211e-05 5.065e-05 4.468e-04 2.496e-04
5.005e+02 6.046e-05 4.270e-05 4.436e-04 2.457e-04
5.505e+02 6.024e-05 3.445e-05 3.929e-04 2.363e-04
6.005e+02 7.050e-05 3.889e-05 3.832e-04 2.201e-04
6.505e+02 4.109e-05 2.603e-05 3.976e-04 2.282e-04
7.005e+02 5.467e-05 4.123e-05 3.841e-04 2.108e-04
7.505e+02 6.998e-05 3.665e-05 3.420e-04 1.930e-04
8.005e+02 4.734e-05 4.395e-05 3.261e-04 1.803e-04
8.505e+02 4.996e-05 3.581e-05 3.296e-04 1.866e-04
9.005e+02 4.866e-05 3.422e-05 3.116e-04 1.723e-04
9.505e+02 4.625e-05 2.922e-05 2.890e-04 1.657e-04
1.000e+03 5.447e-05 4.119e-05 3.002e-04 1.621e-04
1.050e+03 3.876e-05 3.005e-05 3.138e-04 1.722e-04
1.100e+03 4.112e-05 2.619e-05 3.028e-04 1.648e-04
1.150e+03 4.240e-05 3.384e-05 2.876e-04 1.552e-04
1.200e+03 4.350e-05 3.750e-05 2.782e-04 1.515e-04
1.250e+03 3.845e-05 3.434e-05 2.827e-04 1.497e-04
1.300e+03 4.895e-05 3.602e-05 2.781e-04 1.512e-04
1.350e+03 3.884e-05 3.729e-05 2.971e-04 1.583e-04
1.400e+03 4.032e-05 3.030e-05 2.725e-04 1.572e-04
1.450e+03 4.022e-05 3.261e-05 2.790e-04 1.429e-04
1.500e+03 4.762e-05 3.420e-05 2.720e-04 1.451e-04
1.550e+03 4.292e-05 3.536e-05 2.814e-04 1.520e-04
1.600e+03 3.660e-05 2.954e-05 2.636e-04 1.445e-04
1.650e+03 3.743e-05 3.298e-05 2.658e-04 1.423e-04
1.700e+03 4.107e-05 2.697e-05 2.516e-04 1.441e-04
1.750e+03 4.104e-05 3.384e-05 2.501e-04 1.375e-04
1.800e+03 4.012e-05 3.398e-05 2.501e-04 1.386e-04
1.850e+03 4.151e-05 2.996e-05 2.580e-04 1.356e-04
1.900e+03 3.976e-05 3.338e-05 2.448e-04 1.331e-04
1.950e+03 4.109e-05 3.347e-05 2.565e-04 1.357e-04
2.000e+03 3.968e-05 3.456e-05 2.731e-04 1.466e-04
2.076e+03 3.999e-05 2.931e-05 2.568e-04 1.396e-04
2.176e+03 4.088e-05 3.000e-05 2.480e-04 1.384e-04
2.276e+03 4.130e-05 3.233e-05 2.502e-04 1.390e-04
2.376e+03 3.977e-05 3.468e-05 2.487e-04 1.359e-04
2.476e+03 3.813e-05 3.083e-05 2.511e-04 1.333e-04
2.626e+03 3.798e-05 3.212e-05 2.488e-04 1.363e-04
2.826e+03 4.263e-05 3.186e-05 2.569e-04 1.384e-04
3.026e+03 4.253e-05 3.404e-05 2.575e-04 1.403e-04
3.326e+03 4.635e-05 3.421e-05 2.710e-04 1.458e-04
3.726e+03 4.773e-05 3.810e-05 2.941e-04 1.550e-04
4.126e+03 5.317e-05 4.060e-05 3.182e-04 1.669e-04
4.526e+03 5.946e-05 4.513e-05 3.511e-04 1.823e-04
4.926e+03 6.392e-05 5.035e-05 3.870e-04 1.996e-04
5.326e+03 7.349e-05 5.582e-05 4.318e-04 2.191e-04
5.726e+03 8.074e-05 6.410e-05 4.929e-04 2.496e-04
6.126e+03 9.342e-05 7.400e-05 5.548e-04 2.733e-04
6.726e+03 1.144e-04 8.914e-05 6.725e-04 3.291e-04
7.526e+03 1.514e-04 1.197e-04 9.068e-04 4.362e-04
8.326e+03 2.100e-04 1.653e-04 1.243e-03 5.892e-04
