# l NLTT_D5 NLTT_D6 NLTT_D56PA1 NLTT_D56PA2
3.005e+02 5.690e-02 3.433e-02 2.327e-01 1.795e-01
3.505e+02 3.659e-02 9.717e-03 1.246e-01 9.466e-02
4.005e+02 2.416e-02 1.055e-02 6.621e-02 6.005e-02
4.505e+02 1.139e-02 8.123e-03 4.635e-02 3.975e-02
5.005e+02 1.461e-02 5.006e-03 3.056e-02 2.736e-02
5.505e+02 2.866e-03 4.306e-03 2.246e-02 2.114e-02
6.005e+02 4.414e-03 1.993e-03 1.541e-02 1.533e-02
6.505e+02 3.939e-03 9.959e-04 1.308e-02 1.179e-02
7.005e+02 1.818e-03 1.528e-03 9.306e-03 9.233e-03
7.505e+02 1.704e-03 1.440e-03 7.300e-03 7.269e-03
8.005e+02 1.428e-03 1.335e-03 6.040e-03 5.392e-03
8.505e+02 8.697e-04 8.446e-04 4.605e-03 4.672e-03
9.005e+02 1.209e-03 1.016e-03 4.036e-03 3.415e-03
9.505e+02 1.104e-03 4.688e-04 3.317e-03 3.139e-03
1.000e+03 7.552e-04 6.039e-04 2.888e-03 2.747e-03
1.050e+03 6.770e-04 2.163e-04 2.716e-03 2.342e-03
1.100e+03 3.844e-04 4.397e-04 2.212e-03 2.060e-03
1.150e+03 5.321e-04 2.870e-04 1.988e-03 1.758e-03
1.200e+03 3.771e-04 2.770e-04 1.807e-03 1.623e-03
1.250e+03 3.529e-04 1.701e-04 1.588e-03 1.474e-03
1.300e+03 3.710e-04 1.587e-04 1.481e-03 1.384e-03
1.350e+03 2.206e-04 1.717e-04 1.427e-03 1.318e-03
1.400e+03 3.067e-04 1.485e-04 1.214e-03 1.172e-03
1.450e+03 2.978e-04 9.521e-05 1.070e-03 9.843e-04
1.500e+03 1.998e-04 6.671e-05 9.525e-04 9.011e-04
1.550e+03 1.992e-04 1.903e-04 8.885e-04 8.068e-04
1.600e+03 1.803e-04 1.236e-04 8.176e-04 7.576e-04
1.650e+03 1.598e-04 8.743e-05 7.451e-04 6.699e-04
1.700e+03 1.470e-04 1.136e-04 6.885e-04 5.895e-04
1.750e+03 1.292e-04 6.790e-05 5.993e-04 5.486e-04
1.800e+03 1.290e-04 9.553e-05 5.795e-04 5.009e-04
1.850e+03 1.410e-04 6.396e-05 5.053e-04 4.714e-04
1.900e+03 1.158e-04 6.318e-05 4.962e-04 4.303e-04
1.950e+03 1.253e-04 6.384e-05 4.918e-04 4.020e-04
2.000e+03 1.139e-04 6.347e-05 4.628e-04 3.958e-04
2.076e+03 1.035e-04 5.362e-05 4.003e-04 3.332e-04
2.176e+03 8.079e-05 4.343e-05 3.498e-04 2.810e-04
2.276e+03 7.351e-05 4.229e-05 3.316e-04 2.495e-04
2.376e+03 6.334e-05 4.133e-05 2.903e-04 2.249e-04
2.476e+03 5.886e-05 3.385e-05 2.753e-04 1.960e-04
2.626e+03 4.918e-05 3.234e-05 2.491e-04 1.692e-04
2.826e+03 4.502e-05 2.761e-05 2.210e-04 1.445e-04
3.026e+03 4.081e-05 2.689e-05 2.033e-04 1.287e-04
3.326e+03 3.670e-05 2.451e-05 1.904e-04 1.144e-04
3.726e+03 3.478e-05 2.361e-05 1.838e-04 1.047e-04
4.126e+03 3.476e-05 2.547e-05 1.854e-04 1.003e-04
4.526e+03 3.721e-05 2.602e-05 1.948e-04 1.034e-04
4.926e+03 3.882e-05 2.881e-05 2.076e-04 1.091e-04
5.326e+03 4.317e-05 2.932e-05 2.286e-04 1.168e-04
5.726e+03 4.763e-05 3.539e-05 2.577e-04 1.305e-04
6.126e+03 5.387e-05 3.716e-05 2.862e-04 1.420e-04
6.726e+03 6.482e-05 4.475e-05 3.409e-04 1.684e-04
7.526e+03 8.773e-05 6.097e-05 4.620e-04 2.227e-04
8.326e+03 1.224e-04 8.581e-05 6.416e-04 3.051e-04
