Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/16/24 12:24:51] (0.22s) | Epoch: 1 | Batch: 0 (0.211s) | LR: 0.001 | KL Weight: 1 | Loss: 52825.5390625
[07/16/24 12:24:52] (0.32s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 1 | Loss: 51444.09765625
[07/16/24 12:24:52] (0.36s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 1 | Loss: 46228.6796875
[07/16/24 12:24:52] (0.40s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 36239.03125
[07/16/24 12:24:52] (0.44s) | Epoch: 1 | Batch: 4 (0.028s) | LR: 0.001 | KL Weight: 1 | Loss: 49505.5234375
[07/16/24 12:24:52] (0.47s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 32591.572265625
[07/16/24 12:24:52] (0.51s) | Epoch: 1 | Batch: 6 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 31558.96484375
[07/16/24 12:24:52] (0.55s) | Epoch: 1 | Batch: 7 (0.026s) | LR: 0.001 | KL Weight: 1 | Loss: 34636.69140625
[07/16/24 12:24:52] (0.58s) | Epoch: 1 | Batch: 8 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 33334.08203125
[07/16/24 12:24:52] (0.61s) | Epoch: 1 | Batch: 9 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 31184.5703125
[07/16/24 12:24:52] (0.64s) | Epoch: 1 | Batch: 10 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 30846.923828125
[07/16/24 12:24:52] (0.67s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 32942.03515625
[07/16/24 12:24:52] (0.70s) | Epoch: 1 | Batch: 12 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 30192.595703125
[07/16/24 12:24:52] (0.73s) | Epoch: 1 | Batch: 13 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 28467.470703125
[07/16/24 12:24:52] (0.77s) | Epoch: 1 | Batch: 14 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 28902.4296875
[07/16/24 12:24:52] (0.80s) | Epoch: 1 | Batch: 15 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 29968.806640625
[07/16/24 12:24:52] (0.83s) | Epoch: 1 | Batch: 16 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 28464.689453125
[07/16/24 12:24:52] (0.86s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 27416.55078125
[07/16/24 12:24:52] (0.89s) | Epoch: 1 | Batch: 18 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 28185.03515625
[07/16/24 12:24:52] (0.92s) | Epoch: 1 | Batch: 19 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 26899.853515625
[07/16/24 12:24:52] (0.95s) | Epoch: 1 | Batch: 20 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 26388.787109375
[07/16/24 12:24:52] (0.98s) | Epoch: 1 | Batch: 21 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 24954.396484375
[07/16/24 12:24:52] (1.02s) | Epoch: 1 | Batch: 22 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 25062.099609375
[07/16/24 12:24:52] (1.05s) | Epoch: 1 | Batch: 23 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 23813.685546875
[07/16/24 12:24:52] (1.08s) | Epoch: 1 | Batch: 24 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 21855.9296875
[07/16/24 12:24:52] (1.11s) | Epoch: 1 | Batch: 25 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 23095.3046875
