07/24/24 09:48:18 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

07/24/24 09:48:18 (0m 00s) | [1/15] Batch 0 (0.672s) | LR: 0.001 | KLD: 10.097, KLW: 1, Rec. Loss: 0.674 | Loss: 10.77 | Abs. Loss: 10.77
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLD: 4.382, KLW: 1, Rec. Loss: 0.664 | Loss: 5.05 | Abs. Loss: 15.82
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 2 (0.004s) | LR: 0.001 | KLD: 2.682, KLW: 1, Rec. Loss: 0.637 | Loss: 3.32 | Abs. Loss: 19.14
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 3 (0.005s) | LR: 0.001 | KLD: 1.296, KLW: 1, Rec. Loss: 0.548 | Loss: 1.84 | Abs. Loss: 20.98
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLD: 0.649, KLW: 1, Rec. Loss: 0.424 | Loss: 1.07 | Abs. Loss: 22.05
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLD: 0.362, KLW: 1, Rec. Loss: 0.463 | Loss: 0.83 | Abs. Loss: 22.88
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 6 (0.004s) | LR: 0.001 | KLD: 0.382, KLW: 1, Rec. Loss: 0.427 | Loss: 0.81 | Abs. Loss: 23.69
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 7 (0.004s) | LR: 0.001 | KLD: 0.288, KLW: 1, Rec. Loss: 0.406 | Loss: 0.69 | Abs. Loss: 24.38
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 8 (0.004s) | LR: 0.001 | KLD: 0.335, KLW: 1, Rec. Loss: 0.403 | Loss: 0.74 | Abs. Loss: 25.12
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLD: 0.364, KLW: 1, Rec. Loss: 0.425 | Loss: 0.79 | Abs. Loss: 25.91
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 10 (0.004s) | LR: 0.001 | KLD: 0.297, KLW: 1, Rec. Loss: 0.429 | Loss: 0.73 | Abs. Loss: 26.64
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 11 (0.006s) | LR: 0.001 | KLD: 0.225, KLW: 1, Rec. Loss: 0.395 | Loss: 0.62 | Abs. Loss: 27.26
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 12 (0.005s) | LR: 0.001 | KLD: 0.195, KLW: 1, Rec. Loss: 0.369 | Loss: 0.56 | Abs. Loss: 27.82
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 13 (0.005s) | LR: 0.001 | KLD: 0.207, KLW: 1, Rec. Loss: 0.370 | Loss: 0.58 | Abs. Loss: 28.40
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLD: 0.167, KLW: 1, Rec. Loss: 0.392 | Loss: 0.56 | Abs. Loss: 28.96
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 15 (0.005s) | LR: 0.001 | KLD: 0.127, KLW: 1, Rec. Loss: 0.381 | Loss: 0.51 | Abs. Loss: 29.46
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 16 (0.004s) | LR: 0.001 | KLD: 0.144, KLW: 1, Rec. Loss: 0.338 | Loss: 0.48 | Abs. Loss: 29.95
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 17 (0.006s) | LR: 0.001 | KLD: 0.095, KLW: 1, Rec. Loss: 0.331 | Loss: 0.43 | Abs. Loss: 30.37
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 18 (0.006s) | LR: 0.001 | KLD: 0.084, KLW: 1, Rec. Loss: 0.333 | Loss: 0.42 | Abs. Loss: 30.79
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 19 (0.005s) | LR: 0.001 | KLD: 0.106, KLW: 1, Rec. Loss: 0.341 | Loss: 0.45 | Abs. Loss: 31.24
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 20 (0.006s) | LR: 0.001 | KLD: 0.065, KLW: 1, Rec. Loss: 0.330 | Loss: 0.40 | Abs. Loss: 31.63
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 21 (0.006s) | LR: 0.001 | KLD: 0.054, KLW: 1, Rec. Loss: 0.307 | Loss: 0.36 | Abs. Loss: 31.99
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 22 (0.005s) | LR: 0.001 | KLD: 0.077, KLW: 1, Rec. Loss: 0.299 | Loss: 0.38 | Abs. Loss: 32.37
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 23 (0.005s) | LR: 0.001 | KLD: 0.065, KLW: 1, Rec. Loss: 0.295 | Loss: 0.36 | Abs. Loss: 32.73
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 24 (0.005s) | LR: 0.001 | KLD: 0.041, KLW: 1, Rec. Loss: 0.288 | Loss: 0.33 | Abs. Loss: 33.06
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 25 (0.005s) | LR: 0.001 | KLD: 0.071, KLW: 1, Rec. Loss: 0.289 | Loss: 0.36 | Abs. Loss: 33.42
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 26 (0.005s) | LR: 0.001 | KLD: 0.078, KLW: 1, Rec. Loss: 0.294 | Loss: 0.37 | Abs. Loss: 33.79
07/24/24 09:48:19 (0m 01s) | [1/15] Batch 27 (0.004s) | LR: 0.001 | KLD: 0.038, KLW: 1, Rec. Loss: 0.301 | Loss: 0.34 | Abs. Loss: 34.13
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 28 (0.005s) | LR: 0.001 | KLD: 0.071, KLW: 1, Rec. Loss: 0.291 | Loss: 0.36 | Abs. Loss: 34.49
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 29 (0.006s) | LR: 0.001 | KLD: 0.053, KLW: 1, Rec. Loss: 0.281 | Loss: 0.33 | Abs. Loss: 34.83
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 30 (0.004s) | LR: 0.001 | KLD: 0.040, KLW: 1, Rec. Loss: 0.287 | Loss: 0.33 | Abs. Loss: 35.15
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 31 (0.006s) | LR: 0.001 | KLD: 0.057, KLW: 1, Rec. Loss: 0.287 | Loss: 0.34 | Abs. Loss: 35.50
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 32 (0.006s) | LR: 0.001 | KLD: 0.027, KLW: 1, Rec. Loss: 0.280 | Loss: 0.31 | Abs. Loss: 35.80
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 33 (0.005s) | LR: 0.001 | KLD: 0.034, KLW: 1, Rec. Loss: 0.276 | Loss: 0.31 | Abs. Loss: 36.12
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 34 (0.005s) | LR: 0.001 | KLD: 0.021, KLW: 1, Rec. Loss: 0.283 | Loss: 0.30 | Abs. Loss: 36.42
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 35 (0.006s) | LR: 0.001 | KLD: 0.031, KLW: 1, Rec. Loss: 0.278 | Loss: 0.31 | Abs. Loss: 36.73
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 36 (0.005s) | LR: 0.001 | KLD: 0.022, KLW: 1, Rec. Loss: 0.273 | Loss: 0.30 | Abs. Loss: 37.02
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 37 (0.006s) | LR: 0.001 | KLD: 0.030, KLW: 1, Rec. Loss: 0.273 | Loss: 0.30 | Abs. Loss: 37.33
07/24/24 09:48:20 (0m 01s) | [1/15] Batch 38 (0.006s) | LR: 0.001 | KLD: 0.018, KLW: 1, Rec. Loss: 0.270 | Loss: 0.29 | Abs. Loss: 37.61
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 39 (0.005s) | LR: 0.001 | KLD: 0.022, KLW: 1, Rec. Loss: 0.274 | Loss: 0.30 | Abs. Loss: 37.91
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 40 (0.005s) | LR: 0.001 | KLD: 0.017, KLW: 1, Rec. Loss: 0.262 | Loss: 0.28 | Abs. Loss: 38.19
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 41 (0.005s) | LR: 0.001 | KLD: 0.023, KLW: 1, Rec. Loss: 0.271 | Loss: 0.29 | Abs. Loss: 38.48
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 42 (0.004s) | LR: 0.001 | KLD: 0.017, KLW: 1, Rec. Loss: 0.272 | Loss: 0.29 | Abs. Loss: 38.77
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 43 (0.006s) | LR: 0.001 | KLD: 0.015, KLW: 1, Rec. Loss: 0.273 | Loss: 0.29 | Abs. Loss: 39.06
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 44 (0.005s) | LR: 0.001 | KLD: 0.014, KLW: 1, Rec. Loss: 0.263 | Loss: 0.28 | Abs. Loss: 39.34
07/24/24 09:48:20 (0m 02s) | [1/15] Batch 45 (0.005s) | LR: 0.001 | KLD: 0.015, KLW: 1, Rec. Loss: 0.269 | Loss: 0.28 | Abs. Loss: 39.62
