08/08/24 16:43:47 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

08/08/24 16:43:48 (0m 00s) | [1/15] Batch 0 (0.699s) | LR: 0.001 | KLW: 1, Rec. Loss: 52998.281 | Loss: 53011.78 | Abs. Loss: 53011.78
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 51668.031 | Loss: 51675.32 | Abs. Loss: 104687.10
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 45642.117 | Loss: 45648.97 | Abs. Loss: 150336.07
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 35056.969 | Loss: 35074.91 | Abs. Loss: 185410.99
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 46190.602 | Loss: 46313.29 | Abs. Loss: 231724.28
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 31674.438 | Loss: 31700.67 | Abs. Loss: 263424.95
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 6 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 31622.844 | Loss: 31633.50 | Abs. Loss: 295058.45
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 32709.725 | Loss: 32716.88 | Abs. Loss: 327775.33
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 32304.176 | Loss: 32309.98 | Abs. Loss: 360085.30
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 9 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 29424.098 | Loss: 29429.61 | Abs. Loss: 389514.91
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 31364.125 | Loss: 31370.61 | Abs. Loss: 420885.52
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 11 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 32155.479 | Loss: 32162.14 | Abs. Loss: 453047.66
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 12 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 29462.996 | Loss: 29469.17 | Abs. Loss: 482516.83
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 13 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 27991.891 | Loss: 27999.16 | Abs. Loss: 510515.98
08/08/24 16:43:48 (0m 01s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 29394.336 | Loss: 29406.06 | Abs. Loss: 539922.05
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 15 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 28588.654 | Loss: 28601.63 | Abs. Loss: 568523.68
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 16 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 27380.547 | Loss: 27391.81 | Abs. Loss: 595915.50
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 17 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 25441.652 | Loss: 25452.52 | Abs. Loss: 621368.02
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 18 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 26275.379 | Loss: 26289.65 | Abs. Loss: 647657.67
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 19 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 25430.062 | Loss: 25450.31 | Abs. Loss: 673107.98
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 20 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 25677.391 | Loss: 25739.28 | Abs. Loss: 698847.26
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 21 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 22954.984 | Loss: 22980.34 | Abs. Loss: 721827.59
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 22 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 23112.273 | Loss: 23132.88 | Abs. Loss: 744960.48
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 23 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21776.543 | Loss: 21812.53 | Abs. Loss: 766773.01
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 24 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 22449.266 | Loss: 22509.42 | Abs. Loss: 789282.43
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 25 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 21696.096 | Loss: 21723.88 | Abs. Loss: 811006.32
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 26 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 22075.709 | Loss: 22096.13 | Abs. Loss: 833102.45
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 27 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 20443.229 | Loss: 20465.59 | Abs. Loss: 853568.04
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 28 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 22233.422 | Loss: 22261.15 | Abs. Loss: 875829.18
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 29 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21719.230 | Loss: 21739.20 | Abs. Loss: 897568.38
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 30 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 22859.822 | Loss: 22873.61 | Abs. Loss: 920441.99
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 31 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21499.402 | Loss: 21510.90 | Abs. Loss: 941952.89
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 32 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21394.336 | Loss: 21406.95 | Abs. Loss: 963359.84
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 33 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 20884.449 | Loss: 20900.46 | Abs. Loss: 984260.30
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 34 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 20548.311 | Loss: 20561.99 | Abs. Loss: 1004822.29
08/08/24 16:43:49 (0m 01s) | [1/15] Batch 35 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 20768.961 | Loss: 20779.61 | Abs. Loss: 1025601.90
