Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/13/24 19:18:16] (0.22s) | Epoch: 1 | Batch: 0 (0.209s) | LR: 0.001 | KL Weight: 0.1 | Loss: 52702.125
[07/13/24 19:18:16] (0.32s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 51347.7421875
[07/13/24 19:18:16] (0.36s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 45166.59765625
[07/13/24 19:18:16] (0.40s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33335.87890625
[07/13/24 19:18:16] (0.43s) | Epoch: 1 | Batch: 4 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 52059.7421875
[07/13/24 19:18:16] (0.47s) | Epoch: 1 | Batch: 5 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33049.61328125
[07/13/24 19:18:16] (0.50s) | Epoch: 1 | Batch: 6 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31224.748046875
[07/13/24 19:18:16] (0.53s) | Epoch: 1 | Batch: 7 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33542.96875
[07/13/24 19:18:16] (0.56s) | Epoch: 1 | Batch: 8 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33655.9140625
[07/13/24 19:18:16] (0.59s) | Epoch: 1 | Batch: 9 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31875.72265625
[07/13/24 19:18:16] (0.62s) | Epoch: 1 | Batch: 10 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29923.26953125
