08/08/24 17:15:56 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

08/08/24 17:15:57 (0m 00s) | [1/15] Batch 0 (0.682s) | LR: 0.001 | KLW: 0, Rec. Loss: 55217.797 | Loss: 55217.80 | Abs. Loss: 55217.80
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 54336.375 | Loss: 54336.38 | Abs. Loss: 109554.17
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 51488.438 | Loss: 51488.44 | Abs. Loss: 161042.61
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 3 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 42808.641 | Loss: 42808.64 | Abs. Loss: 203851.25
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 32532.795 | Loss: 32532.79 | Abs. Loss: 236384.04
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 5 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 39515.348 | Loss: 39515.35 | Abs. Loss: 275899.39
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 6 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 31508.152 | Loss: 31508.15 | Abs. Loss: 307407.54
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30780.973 | Loss: 30780.97 | Abs. Loss: 338188.52
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 32176.719 | Loss: 32176.72 | Abs. Loss: 370365.24
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 9 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30137.289 | Loss: 30137.29 | Abs. Loss: 400502.53
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28960.127 | Loss: 28960.13 | Abs. Loss: 429462.65
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 11 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 29350.352 | Loss: 29350.35 | Abs. Loss: 458813.00
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 12 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30320.906 | Loss: 30320.91 | Abs. Loss: 489133.91
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 13 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27226.795 | Loss: 27226.79 | Abs. Loss: 516360.71
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27284.668 | Loss: 27284.67 | Abs. Loss: 543645.37
08/08/24 17:15:58 (0m 01s) | [1/15] Batch 15 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 26911.016 | Loss: 26911.02 | Abs. Loss: 570556.39
