07/17/24 12:42:30 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 12:42:31 (0.76s) | Epoch: 1 | Batch: 0 (0.747s) | LR: 0.001 | KL Weight: 0.1 | Loss: 55286.53
07/17/24 12:42:32 (1.55s) | Epoch: 1 | Batch: 1 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 54320.77
07/17/24 12:42:32 (1.57s) | Epoch: 1 | Batch: 2 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 50820.46
07/17/24 12:42:32 (1.58s) | Epoch: 1 | Batch: 3 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 40175.04
07/17/24 12:42:32 (1.60s) | Epoch: 1 | Batch: 4 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33146.79
07/17/24 12:42:32 (1.61s) | Epoch: 1 | Batch: 5 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33936.71
07/17/24 12:42:32 (1.63s) | Epoch: 1 | Batch: 6 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30129.03
07/17/24 12:42:32 (1.65s) | Epoch: 1 | Batch: 7 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30400.42
07/17/24 12:42:32 (1.66s) | Epoch: 1 | Batch: 8 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29695.84
07/17/24 12:42:32 (1.68s) | Epoch: 1 | Batch: 9 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28520.59
07/17/24 12:42:32 (1.70s) | Epoch: 1 | Batch: 10 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28997.52
07/17/24 12:42:32 (1.71s) | Epoch: 1 | Batch: 11 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28070.48
07/17/24 12:42:32 (1.73s) | Epoch: 1 | Batch: 12 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26547.35
07/17/24 12:42:32 (1.74s) | Epoch: 1 | Batch: 13 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27186.91
07/17/24 12:42:32 (1.76s) | Epoch: 1 | Batch: 14 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25316.95
07/17/24 12:42:32 (1.78s) | Epoch: 1 | Batch: 15 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23238.35
07/17/24 12:42:32 (1.79s) | Epoch: 1 | Batch: 16 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24896.94
07/17/24 12:42:32 (1.81s) | Epoch: 1 | Batch: 17 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22774.96
07/17/24 12:42:32 (1.82s) | Epoch: 1 | Batch: 18 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20515.37
07/17/24 12:42:32 (1.84s) | Epoch: 1 | Batch: 19 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22578.42
07/17/24 12:42:32 (1.86s) | Epoch: 1 | Batch: 20 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20880.87
07/17/24 12:42:32 (1.87s) | Epoch: 1 | Batch: 21 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22943.10
07/17/24 12:42:32 (1.89s) | Epoch: 1 | Batch: 22 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23171.85
07/17/24 12:42:32 (1.91s) | Epoch: 1 | Batch: 23 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20356.86
07/17/24 12:42:32 (1.92s) | Epoch: 1 | Batch: 24 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22495.62
07/17/24 12:42:32 (1.94s) | Epoch: 1 | Batch: 25 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21545.84
07/17/24 12:42:32 (1.96s) | Epoch: 1 | Batch: 26 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20370.73
07/17/24 12:42:32 (1.97s) | Epoch: 1 | Batch: 27 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20192.25
