07/24/24 12:04:38 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/24/24 12:04:39 (0m 00s) | [1/15] Batch 0 (0.683s) | LR: 0.001 | KLD: 6.990, KLW: 0.1, Rec. Loss: 56284.473 | Loss: 56285.17 | Abs. Loss: 56285.17
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLD: 11.118, KLW: 0.1, Rec. Loss: 55040.414 | Loss: 55041.53 | Abs. Loss: 111326.70
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLD: 11.625, KLW: 0.1, Rec. Loss: 49239.938 | Loss: 49241.10 | Abs. Loss: 160567.80
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 3 (0.005s) | LR: 0.001 | KLD: 44.965, KLW: 0.1, Rec. Loss: 34808.414 | Loss: 34812.91 | Abs. Loss: 195380.71
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLD: 269.344, KLW: 0.1, Rec. Loss: 50332.137 | Loss: 50359.07 | Abs. Loss: 245739.78
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLD: 68.571, KLW: 0.1, Rec. Loss: 32219.305 | Loss: 32226.16 | Abs. Loss: 277965.94
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 6 (0.004s) | LR: 0.001 | KLD: 27.515, KLW: 0.1, Rec. Loss: 31916.812 | Loss: 31919.56 | Abs. Loss: 309885.51
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 7 (0.004s) | LR: 0.001 | KLD: 16.316, KLW: 0.1, Rec. Loss: 33536.453 | Loss: 33538.09 | Abs. Loss: 343423.59
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 8 (0.004s) | LR: 0.001 | KLD: 10.833, KLW: 0.1, Rec. Loss: 32344.912 | Loss: 32346.00 | Abs. Loss: 375769.59
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLD: 7.354, KLW: 0.1, Rec. Loss: 30471.602 | Loss: 30472.34 | Abs. Loss: 406241.93
07/24/24 12:04:39 (0m 01s) | [1/15] Batch 10 (0.004s) | LR: 0.001 | KLD: 5.847, KLW: 0.1, Rec. Loss: 29656.730 | Loss: 29657.31 | Abs. Loss: 435899.24
