08/08/24 16:52:12 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

08/08/24 16:52:13 (0m 00s) | [1/15] Batch 0 (0.668s) | LR: 0.001 | KLW: 0, Rec. Loss: 52782.926 | Loss: 52782.93 | Abs. Loss: 52782.93
08/08/24 16:52:13 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 51436.367 | Loss: 51436.37 | Abs. Loss: 104219.29
08/08/24 16:52:13 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 45451.031 | Loss: 45451.03 | Abs. Loss: 149670.32
08/08/24 16:52:13 (0m 01s) | [1/15] Batch 3 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 31782.902 | Loss: 31782.90 | Abs. Loss: 181453.23
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 78679.570 | Loss: 78679.57 | Abs. Loss: 260132.80
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 33953.062 | Loss: 33953.06 | Abs. Loss: 294085.86
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 6 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 32083.531 | Loss: 32083.53 | Abs. Loss: 326169.39
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 37464.461 | Loss: 37464.46 | Abs. Loss: 363633.85
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 8 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 39409.137 | Loss: 39409.14 | Abs. Loss: 403042.99
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 9 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 38806.602 | Loss: 38806.60 | Abs. Loss: 441849.59
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 35259.535 | Loss: 35259.54 | Abs. Loss: 477109.12
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 11 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 31163.477 | Loss: 31163.48 | Abs. Loss: 508272.60
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 12 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30532.031 | Loss: 30532.03 | Abs. Loss: 538804.63
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 13 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 33148.102 | Loss: 33148.10 | Abs. Loss: 571952.73
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 30120.717 | Loss: 30120.72 | Abs. Loss: 602073.45
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 15 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 28324.119 | Loss: 28324.12 | Abs. Loss: 630397.57
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 16 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28597.537 | Loss: 28597.54 | Abs. Loss: 658995.11
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 17 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28872.543 | Loss: 28872.54 | Abs. Loss: 687867.65
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 18 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 26850.432 | Loss: 26850.43 | Abs. Loss: 714718.08
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 19 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27331.141 | Loss: 27331.14 | Abs. Loss: 742049.22
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 20 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 26309.410 | Loss: 26309.41 | Abs. Loss: 768358.63
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 21 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 24877.008 | Loss: 24877.01 | Abs. Loss: 793235.64
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 22 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 23937.965 | Loss: 23937.96 | Abs. Loss: 817173.61
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 23 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 24821.070 | Loss: 24821.07 | Abs. Loss: 841994.68
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 24 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 22486.400 | Loss: 22486.40 | Abs. Loss: 864481.08
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 25 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 22542.441 | Loss: 22542.44 | Abs. Loss: 887023.52
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 26 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23420.590 | Loss: 23420.59 | Abs. Loss: 910444.11
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 27 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23124.141 | Loss: 23124.14 | Abs. Loss: 933568.25
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 28 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 23488.023 | Loss: 23488.02 | Abs. Loss: 957056.27
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 29 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20566.145 | Loss: 20566.14 | Abs. Loss: 977622.42
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 30 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 20652.512 | Loss: 20652.51 | Abs. Loss: 998274.93
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 31 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 21081.062 | Loss: 21081.06 | Abs. Loss: 1019355.99
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 32 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 21236.898 | Loss: 21236.90 | Abs. Loss: 1040592.89
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 33 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20577.473 | Loss: 20577.47 | Abs. Loss: 1061170.36
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 34 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20148.172 | Loss: 20148.17 | Abs. Loss: 1081318.53
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 35 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 20959.156 | Loss: 20959.16 | Abs. Loss: 1102277.69
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 36 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 21261.506 | Loss: 21261.51 | Abs. Loss: 1123539.20
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 37 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20603.266 | Loss: 20603.27 | Abs. Loss: 1144142.46
08/08/24 16:52:14 (0m 01s) | [1/15] Batch 38 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20761.328 | Loss: 20761.33 | Abs. Loss: 1164903.79
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 39 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20593.162 | Loss: 20593.16 | Abs. Loss: 1185496.95
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 40 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20112.314 | Loss: 20112.31 | Abs. Loss: 1205609.27
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 41 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 19479.930 | Loss: 19479.93 | Abs. Loss: 1225089.20
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 42 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 20698.842 | Loss: 20698.84 | Abs. Loss: 1245788.04
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 43 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 19756.531 | Loss: 19756.53 | Abs. Loss: 1265544.57
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 44 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20303.758 | Loss: 20303.76 | Abs. Loss: 1285848.33
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 45 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20168.502 | Loss: 20168.50 | Abs. Loss: 1306016.83
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 46 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20950.879 | Loss: 20950.88 | Abs. Loss: 1326967.71
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 47 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20179.824 | Loss: 20179.82 | Abs. Loss: 1347147.53
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 48 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19951.039 | Loss: 19951.04 | Abs. Loss: 1367098.57
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 49 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 19870.555 | Loss: 19870.55 | Abs. Loss: 1386969.12
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 50 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 19899.281 | Loss: 19899.28 | Abs. Loss: 1406868.41
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 51 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20190.514 | Loss: 20190.51 | Abs. Loss: 1427058.92
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 52 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19711.113 | Loss: 19711.11 | Abs. Loss: 1446770.03
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 53 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20100.650 | Loss: 20100.65 | Abs. Loss: 1466870.68
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 54 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19768.719 | Loss: 19768.72 | Abs. Loss: 1486639.40
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 55 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19331.881 | Loss: 19331.88 | Abs. Loss: 1505971.28
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 56 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20070.990 | Loss: 20070.99 | Abs. Loss: 1526042.27
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 57 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 20004.191 | Loss: 20004.19 | Abs. Loss: 1546046.46
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 58 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 19795.328 | Loss: 19795.33 | Abs. Loss: 1565841.79
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 59 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20336.617 | Loss: 20336.62 | Abs. Loss: 1586178.41
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 60 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19938.930 | Loss: 19938.93 | Abs. Loss: 1606117.34
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 61 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 19963.395 | Loss: 19963.39 | Abs. Loss: 1626080.73
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 62 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 19562.895 | Loss: 19562.89 | Abs. Loss: 1645643.63
08/08/24 16:52:14 (0m 02s) | [1/15] Batch 63 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 19894.402 | Loss: 19894.40 | Abs. Loss: 1665538.03
08/08/24 16:52:15 (0m 02s) | [1/15] Batch 64 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19533.320 | Loss: 19533.32 | Abs. Loss: 1685071.35
08/08/24 16:52:15 (0m 02s) | [1/15] Batch 65 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 19131.227 | Loss: 19131.23 | Abs. Loss: 1704202.58
08/08/24 16:52:15 (0m 02s) | [1/15] Batch 66 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19523.621 | Loss: 19523.62 | Abs. Loss: 1723726.20
08/08/24 16:52:15 (0m 02s) | [1/15] Batch 67 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19870.693 | Loss: 19870.69 | Abs. Loss: 1743596.89
