08/08/24 16:55:07 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

08/08/24 16:55:08 (0m 00s) | [1/15] Batch 0 (0.765s) | LR: 0.0001 | KLW: 0, Rec. Loss: 55752.352 | Loss: 55752.35 | Abs. Loss: 55752.35
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 1 (0.010s) | LR: 0.0001 | KLW: 0, Rec. Loss: 55640.867 | Loss: 55640.87 | Abs. Loss: 111393.22
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 2 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 55491.203 | Loss: 55491.20 | Abs. Loss: 166884.42
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 55359.820 | Loss: 55359.82 | Abs. Loss: 222244.24
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 4 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 55168.820 | Loss: 55168.82 | Abs. Loss: 277413.06
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 5 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 54965.863 | Loss: 54965.86 | Abs. Loss: 332378.93
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 6 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 54691.086 | Loss: 54691.09 | Abs. Loss: 387070.01
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 54342.914 | Loss: 54342.91 | Abs. Loss: 441412.93
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 8 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 53892.180 | Loss: 53892.18 | Abs. Loss: 495305.11
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 9 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 53281.242 | Loss: 53281.24 | Abs. Loss: 548586.35
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 52514.383 | Loss: 52514.38 | Abs. Loss: 601100.73
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 11 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 51600.945 | Loss: 51600.95 | Abs. Loss: 652701.68
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 12 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 50419.727 | Loss: 50419.73 | Abs. Loss: 703121.40
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 13 (0.005s) | LR: 0.0001 | KLW: 0, Rec. Loss: 48808.652 | Loss: 48808.65 | Abs. Loss: 751930.05
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 14 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 47002.082 | Loss: 47002.08 | Abs. Loss: 798932.14
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 15 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 44548.430 | Loss: 44548.43 | Abs. Loss: 843480.57
08/08/24 16:55:09 (0m 01s) | [1/15] Batch 16 (0.004s) | LR: 0.0001 | KLW: 0, Rec. Loss: 41969.125 | Loss: 41969.12 | Abs. Loss: 885449.69
