08/08/24 17:22:14 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

08/08/24 17:22:15 (0m 00s) | [1/15] Batch 0 (0.703s) | LR: 0.001 | KLW: 0, Rec. Loss: 55476.648 | Loss: 55476.65 | Abs. Loss: 55476.65
08/08/24 17:22:15 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 53955.070 | Loss: 53955.07 | Abs. Loss: 109431.72
08/08/24 17:22:15 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 47948.664 | Loss: 47948.66 | Abs. Loss: 157380.38
08/08/24 17:22:15 (0m 01s) | [1/15] Batch 3 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 34749.273 | Loss: 34749.27 | Abs. Loss: 192129.66
08/08/24 17:22:15 (0m 01s) | [1/15] Batch 4 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 45949.602 | Loss: 45949.60 | Abs. Loss: 238079.26
08/08/24 17:22:15 (0m 01s) | [1/15] Batch 5 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 34476.695 | Loss: 34476.70 | Abs. Loss: 272555.95
08/08/24 17:22:15 (0m 01s) | [1/15] Batch 6 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 31702.139 | Loss: 31702.14 | Abs. Loss: 304258.09
08/08/24 17:22:15 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 34466.797 | Loss: 34466.80 | Abs. Loss: 338724.89
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 34929.297 | Loss: 34929.30 | Abs. Loss: 373654.19
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 9 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 32001.078 | Loss: 32001.08 | Abs. Loss: 405655.26
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30636.107 | Loss: 30636.11 | Abs. Loss: 436291.37
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 11 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 29728.939 | Loss: 29728.94 | Abs. Loss: 466020.31
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 12 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 32959.770 | Loss: 32959.77 | Abs. Loss: 498980.08
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 13 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30458.512 | Loss: 30458.51 | Abs. Loss: 529438.59
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 30198.764 | Loss: 30198.76 | Abs. Loss: 559637.36
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 15 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28523.594 | Loss: 28523.59 | Abs. Loss: 588160.95
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 16 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 29765.586 | Loss: 29765.59 | Abs. Loss: 617926.54
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 17 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 29652.934 | Loss: 29652.93 | Abs. Loss: 647579.47
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 18 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 27717.805 | Loss: 27717.80 | Abs. Loss: 675297.27
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 19 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28365.574 | Loss: 28365.57 | Abs. Loss: 703662.85
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 20 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27171.207 | Loss: 27171.21 | Abs. Loss: 730834.05
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 21 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 26798.922 | Loss: 26798.92 | Abs. Loss: 757632.98
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 22 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 26384.758 | Loss: 26384.76 | Abs. Loss: 784017.73
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 23 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 25432.309 | Loss: 25432.31 | Abs. Loss: 809450.04
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 24 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 23789.812 | Loss: 23789.81 | Abs. Loss: 833239.86
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 25 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23115.357 | Loss: 23115.36 | Abs. Loss: 856355.21
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 26 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 22962.164 | Loss: 22962.16 | Abs. Loss: 879317.38
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 27 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23239.906 | Loss: 23239.91 | Abs. Loss: 902557.28
08/08/24 17:22:16 (0m 01s) | [1/15] Batch 28 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21504.496 | Loss: 21504.50 | Abs. Loss: 924061.78
