Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:24:12] (0.22s) | Epoch: 1 | Batch: 0 (0.212s) | LR: 0.001 | KL Weight: 1 | Loss: 53952.88671875
[07/16/24 13:24:13] (0.32s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 1 | Loss: 53089.16796875
[07/16/24 13:24:13] (0.36s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 1 | Loss: 50226.6484375
[07/16/24 13:24:13] (0.40s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 40885.1484375
[07/16/24 13:24:13] (0.43s) | Epoch: 1 | Batch: 4 (0.026s) | LR: 0.001 | KL Weight: 1 | Loss: 34282.25
[07/16/24 13:24:13] (0.47s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 32524.68359375
[07/16/24 13:24:13] (0.51s) | Epoch: 1 | Batch: 6 (0.028s) | LR: 0.001 | KL Weight: 1 | Loss: 29543.763671875
[07/16/24 13:24:13] (0.55s) | Epoch: 1 | Batch: 7 (0.028s) | LR: 0.001 | KL Weight: 1 | Loss: 29512.30078125
[07/16/24 13:24:13] (0.59s) | Epoch: 1 | Batch: 8 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 29434.49609375
[07/16/24 13:24:13] (0.62s) | Epoch: 1 | Batch: 9 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 28316.943359375
[07/16/24 13:24:13] (0.65s) | Epoch: 1 | Batch: 10 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 28336.1328125
[07/16/24 13:24:13] (0.68s) | Epoch: 1 | Batch: 11 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 27260.9140625
[07/16/24 13:24:13] (0.71s) | Epoch: 1 | Batch: 12 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 26466.16015625
[07/16/24 13:24:13] (0.74s) | Epoch: 1 | Batch: 13 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 25241.38671875
[07/16/24 13:24:13] (0.77s) | Epoch: 1 | Batch: 14 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 23645.90625
[07/16/24 13:24:13] (0.80s) | Epoch: 1 | Batch: 15 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 23152.078125
[07/16/24 13:24:13] (0.83s) | Epoch: 1 | Batch: 16 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 23095.541015625
[07/16/24 13:24:13] (0.87s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 22415.19140625
[07/16/24 13:24:13] (0.90s) | Epoch: 1 | Batch: 18 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 21817.837890625
[07/16/24 13:24:13] (0.93s) | Epoch: 1 | Batch: 19 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 26514.595703125
[07/16/24 13:24:13] (0.96s) | Epoch: 1 | Batch: 20 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 31777.90625
