08/20/24 16:38:36 Training initiated with the following parameters:
Model Parameters: (('image_channels', 3), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 3), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 3), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

08/20/24 16:38:37 (0m 00s) | [1/100] Batch 0 (0.743s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.971 | Loss: 9.87 | Abs. Loss: 9.87
08/20/24 16:38:38 (0m 01s) | [1/100] Batch 1 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.968 | Loss: 38.66 | Abs. Loss: 48.53
08/20/24 16:38:38 (0m 01s) | [1/100] Batch 2 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.960 | Loss: 22.95 | Abs. Loss: 71.48
08/20/24 16:38:38 (0m 01s) | [1/100] Batch 3 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.932 | Loss: 6.21 | Abs. Loss: 77.69
08/20/24 16:38:38 (0m 02s) | [1/100] Batch 4 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.850 | Loss: 23.51 | Abs. Loss: 101.20
08/20/24 16:38:38 (0m 02s) | [1/100] Batch 5 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.765 | Loss: 55.73 | Abs. Loss: 156.93
08/20/24 16:38:38 (0m 02s) | [1/100] Batch 6 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.699 | Loss: 4.35 | Abs. Loss: 161.29
08/20/24 16:38:38 (0m 02s) | [1/100] Batch 7 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 4.02 | Abs. Loss: 165.30
08/20/24 16:38:39 (0m 02s) | [1/100] Batch 8 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.88 | Abs. Loss: 169.19
08/20/24 16:38:39 (0m 02s) | [1/100] Batch 9 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.20 | Abs. Loss: 172.39
08/20/24 16:38:39 (0m 02s) | [1/100] Batch 10 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.56 | Abs. Loss: 174.95
08/20/24 16:38:39 (0m 02s) | [1/100] Batch 11 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.40 | Abs. Loss: 177.34
08/20/24 16:38:39 (0m 02s) | [1/100] Batch 12 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.53 | Abs. Loss: 179.87
08/20/24 16:38:39 (0m 03s) | [1/100] Batch 13 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.77 | Abs. Loss: 181.64
08/20/24 16:38:39 (0m 03s) | [1/100] Batch 14 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.26 | Abs. Loss: 183.90
08/20/24 16:38:39 (0m 03s) | [1/100] Batch 15 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.57 | Abs. Loss: 185.47
08/20/24 16:38:39 (0m 03s) | [1/100] Batch 16 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.95 | Abs. Loss: 188.42
08/20/24 16:38:40 (0m 03s) | [1/100] Batch 17 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 15.92 | Abs. Loss: 204.34
08/20/24 16:38:40 (0m 03s) | [1/100] Batch 18 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 47.82 | Abs. Loss: 252.16
08/20/24 16:38:40 (0m 03s) | [1/100] Batch 19 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 11.61 | Abs. Loss: 263.77
08/20/24 16:38:40 (0m 03s) | [1/100] Batch 20 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 8.29 | Abs. Loss: 272.06
08/20/24 16:38:40 (0m 03s) | [1/100] Batch 21 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.16 | Abs. Loss: 275.22
08/20/24 16:38:40 (0m 04s) | [1/100] Batch 22 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 6.96 | Abs. Loss: 282.17
08/20/24 16:38:40 (0m 04s) | [1/100] Batch 23 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.04 | Abs. Loss: 285.21
08/20/24 16:38:40 (0m 04s) | [1/100] Batch 24 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.67 | Abs. Loss: 288.88
08/20/24 16:38:40 (0m 04s) | [1/100] Batch 25 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.22 | Abs. Loss: 292.10
08/20/24 16:38:40 (0m 04s) | [1/100] Batch 26 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.71 | Abs. Loss: 295.81
08/20/24 16:38:41 (0m 04s) | [1/100] Batch 27 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.88 | Abs. Loss: 297.69
08/20/24 16:38:41 (0m 04s) | [1/100] Batch 28 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 3.42 | Abs. Loss: 301.11
08/20/24 16:38:41 (0m 04s) | [1/100] Batch 29 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.13 | Abs. Loss: 302.23
08/20/24 16:38:41 (0m 04s) | [1/100] Batch 30 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.33 | Abs. Loss: 304.56
08/20/24 16:38:41 (0m 04s) | [1/100] Batch 31 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 2.12 | Abs. Loss: 306.69
08/20/24 16:38:41 (0m 05s) | [1/100] Batch 32 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.12 | Abs. Loss: 307.81
08/20/24 16:38:41 (0m 05s) | [1/100] Batch 33 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.87 | Abs. Loss: 309.68
08/20/24 16:38:41 (0m 05s) | [1/100] Batch 34 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.60 | Abs. Loss: 311.27
08/20/24 16:38:41 (0m 05s) | [1/100] Batch 35 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.98 | Abs. Loss: 312.26
08/20/24 16:38:42 (0m 05s) | [1/100] Batch 36 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.22 | Abs. Loss: 313.48
08/20/24 16:38:42 (0m 05s) | [1/100] Batch 37 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.44 | Abs. Loss: 314.92
08/20/24 16:38:42 (0m 05s) | [1/100] Batch 38 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.12 | Abs. Loss: 316.04
08/20/24 16:38:42 (0m 05s) | [1/100] Batch 39 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.96 | Abs. Loss: 317.01
08/20/24 16:38:42 (0m 05s) | [1/100] Batch 40 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.05 | Abs. Loss: 318.06
08/20/24 16:38:42 (0m 06s) | [1/100] Batch 41 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.94 | Abs. Loss: 318.99
08/20/24 16:38:42 (0m 06s) | [1/100] Batch 42 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.01 | Abs. Loss: 320.00
08/20/24 16:38:42 (0m 06s) | [1/100] Batch 43 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 1.13 | Abs. Loss: 321.14
08/20/24 16:38:42 (0m 06s) | [1/100] Batch 44 (0.008s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.88 | Abs. Loss: 322.02
08/20/24 16:38:43 (0m 06s) | [1/100] Batch 45 (0.007s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.79 | Abs. Loss: 322.80
08/20/24 16:38:43 (0m 06s) | [1/100] Batch 46 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 0.693 | Loss: 0.89 | Abs. Loss: 323.69
