Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/15/24 17:14:35] (0.61s) | Epoch: 1 | Batch: 0 (0.596s) | LR: 0.001 | KL Weight: 0.1 | Loss: 55182.03515625
[07/15/24 17:14:36] (0.81s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 54580.9140625
[07/15/24 17:14:36] (0.85s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 53536.83984375
[07/15/24 17:14:36] (0.89s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 49460.33984375
[07/15/24 17:14:36] (0.92s) | Epoch: 1 | Batch: 4 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 37058.51171875
[07/15/24 17:14:36] (0.96s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 47278.84765625
[07/15/24 17:14:36] (1.00s) | Epoch: 1 | Batch: 6 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31023.78125
[07/15/24 17:14:36] (1.03s) | Epoch: 1 | Batch: 7 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31448.77734375
[07/15/24 17:14:36] (1.06s) | Epoch: 1 | Batch: 8 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33167.765625
[07/15/24 17:14:36] (1.09s) | Epoch: 1 | Batch: 9 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31365.060546875
[07/15/24 17:14:36] (1.12s) | Epoch: 1 | Batch: 10 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29632.087890625
[07/15/24 17:14:36] (1.15s) | Epoch: 1 | Batch: 11 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29482.28515625
[07/15/24 17:14:36] (1.18s) | Epoch: 1 | Batch: 12 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29379.66015625
