07/24/24 11:59:38 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/24/24 11:59:39 (0m 00s) | [1/8] Batch 0 (0.669s) | LR: 0.001 | KLD: 8.067, KLW: 0.1, Rec. Loss: 0.689 | Loss: 1.50 | Abs. Loss: 1.50
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 1 (0.006s) | LR: 0.001 | KLD: 2.598, KLW: 0.1, Rec. Loss: 0.676 | Loss: 0.94 | Abs. Loss: 2.43
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 2 (0.005s) | LR: 0.001 | KLD: 2.960, KLW: 0.1, Rec. Loss: 0.622 | Loss: 0.92 | Abs. Loss: 3.35
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 3 (0.005s) | LR: 0.001 | KLD: 0.757, KLW: 0.1, Rec. Loss: 0.488 | Loss: 0.56 | Abs. Loss: 3.91
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 4 (0.005s) | LR: 0.001 | KLD: 0.392, KLW: 0.1, Rec. Loss: 0.411 | Loss: 0.45 | Abs. Loss: 4.36
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 5 (0.004s) | LR: 0.001 | KLD: 0.442, KLW: 0.1, Rec. Loss: 0.485 | Loss: 0.53 | Abs. Loss: 4.89
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 6 (0.005s) | LR: 0.001 | KLD: 0.344, KLW: 0.1, Rec. Loss: 0.381 | Loss: 0.42 | Abs. Loss: 5.31
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 7 (0.004s) | LR: 0.001 | KLD: 0.689, KLW: 0.1, Rec. Loss: 0.385 | Loss: 0.45 | Abs. Loss: 5.76
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 8 (0.005s) | LR: 0.001 | KLD: 0.270, KLW: 0.1, Rec. Loss: 0.408 | Loss: 0.44 | Abs. Loss: 6.19
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 9 (0.004s) | LR: 0.001 | KLD: 0.541, KLW: 0.1, Rec. Loss: 0.399 | Loss: 0.45 | Abs. Loss: 6.65
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 10 (0.004s) | LR: 0.001 | KLD: 0.191, KLW: 0.1, Rec. Loss: 0.383 | Loss: 0.40 | Abs. Loss: 7.05
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 11 (0.004s) | LR: 0.001 | KLD: 0.237, KLW: 0.1, Rec. Loss: 0.357 | Loss: 0.38 | Abs. Loss: 7.43
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 12 (0.004s) | LR: 0.001 | KLD: 0.245, KLW: 0.1, Rec. Loss: 0.354 | Loss: 0.38 | Abs. Loss: 7.81
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 13 (0.004s) | LR: 0.001 | KLD: 0.161, KLW: 0.1, Rec. Loss: 0.389 | Loss: 0.41 | Abs. Loss: 8.22
07/24/24 11:59:39 (0m 01s) | [1/8] Batch 14 (0.004s) | LR: 0.001 | KLD: 0.153, KLW: 0.1, Rec. Loss: 0.329 | Loss: 0.34 | Abs. Loss: 8.56
07/24/24 11:59:40 (0m 01s) | [1/8] Batch 15 (0.004s) | LR: 0.001 | KLD: 0.137, KLW: 0.1, Rec. Loss: 0.327 | Loss: 0.34 | Abs. Loss: 8.90
07/24/24 11:59:40 (0m 01s) | [1/8] Batch 16 (0.004s) | LR: 0.001 | KLD: 0.106, KLW: 0.1, Rec. Loss: 0.322 | Loss: 0.33 | Abs. Loss: 9.23
07/24/24 11:59:40 (0m 01s) | [1/8] Batch 17 (0.004s) | LR: 0.001 | KLD: 0.148, KLW: 0.1, Rec. Loss: 0.325 | Loss: 0.34 | Abs. Loss: 9.57
07/24/24 11:59:40 (0m 01s) | [1/8] Batch 18 (0.005s) | LR: 0.001 | KLD: 0.093, KLW: 0.1, Rec. Loss: 0.313 | Loss: 0.32 | Abs. Loss: 9.89
07/24/24 11:59:40 (0m 01s) | [1/8] Batch 19 (0.006s) | LR: 0.001 | KLD: 0.072, KLW: 0.1, Rec. Loss: 0.305 | Loss: 0.31 | Abs. Loss: 10.21
07/24/24 11:59:40 (0m 01s) | [1/8] Batch 20 (0.005s) | LR: 0.001 | KLD: 0.091, KLW: 0.1, Rec. Loss: 0.288 | Loss: 0.30 | Abs. Loss: 10.50
07/24/24 11:59:40 (0m 01s) | [1/8] Batch 21 (0.005s) | LR: 0.001 | KLD: 0.093, KLW: 0.1, Rec. Loss: 0.287 | Loss: 0.30 | Abs. Loss: 10.80
