08/08/24 17:03:48 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

08/08/24 17:03:49 (0m 00s) | [1/8] Batch 0 (0.703s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 54627.113 | Loss: 54627.57 | Abs. Loss: 54627.57
08/08/24 17:03:49 (0m 01s) | [1/8] Batch 1 (0.006s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 53793.547 | Loss: 53794.01 | Abs. Loss: 108421.57
08/08/24 17:03:49 (0m 01s) | [1/8] Batch 2 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 51272.590 | Loss: 51273.12 | Abs. Loss: 159694.69
08/08/24 17:03:49 (0m 01s) | [1/8] Batch 3 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 42408.359 | Loss: 42410.23 | Abs. Loss: 202104.92
08/08/24 17:03:49 (0m 01s) | [1/8] Batch 4 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 31637.207 | Loss: 31647.57 | Abs. Loss: 233752.49
08/08/24 17:03:49 (0m 01s) | [1/8] Batch 5 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 35934.461 | Loss: 35939.93 | Abs. Loss: 269692.42
08/08/24 17:03:49 (0m 01s) | [1/8] Batch 6 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 29708.994 | Loss: 29710.58 | Abs. Loss: 299403.00
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 7 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 30785.576 | Loss: 30786.43 | Abs. Loss: 330189.43
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 8 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 31344.191 | Loss: 31344.84 | Abs. Loss: 361534.26
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 9 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 29067.895 | Loss: 29068.40 | Abs. Loss: 390602.67
08/08/24 17:03:50 (0m 01s) | [1/8] Batch 10 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 26209.184 | Loss: 26209.62 | Abs. Loss: 416812.28
