07/24/24 11:57:49 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/24/24 11:57:50 (0m 00s) | [1/5] Batch 0 (0.679s) | LR: 0.001 | KLD: 7.563, KLW: 0.1, Rec. Loss: 0.697 | Loss: 1.45 | Abs. Loss: 1.45
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 1 (0.005s) | LR: 0.001 | KLD: 2.899, KLW: 0.1, Rec. Loss: 0.683 | Loss: 0.97 | Abs. Loss: 2.43
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 2 (0.005s) | LR: 0.001 | KLD: 1.631, KLW: 0.1, Rec. Loss: 0.629 | Loss: 0.79 | Abs. Loss: 3.22
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 3 (0.005s) | LR: 0.001 | KLD: 0.410, KLW: 0.1, Rec. Loss: 0.499 | Loss: 0.54 | Abs. Loss: 3.76
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 4 (0.004s) | LR: 0.001 | KLD: 0.513, KLW: 0.1, Rec. Loss: 0.402 | Loss: 0.45 | Abs. Loss: 4.21
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 5 (0.004s) | LR: 0.001 | KLD: 0.288, KLW: 0.1, Rec. Loss: 0.481 | Loss: 0.51 | Abs. Loss: 4.72
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 6 (0.005s) | LR: 0.001 | KLD: 0.520, KLW: 0.1, Rec. Loss: 0.414 | Loss: 0.47 | Abs. Loss: 5.19
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 7 (0.004s) | LR: 0.001 | KLD: 0.445, KLW: 0.1, Rec. Loss: 0.402 | Loss: 0.45 | Abs. Loss: 5.63
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 8 (0.004s) | LR: 0.001 | KLD: 0.183, KLW: 0.1, Rec. Loss: 0.436 | Loss: 0.45 | Abs. Loss: 6.09
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 9 (0.005s) | LR: 0.001 | KLD: 0.284, KLW: 0.1, Rec. Loss: 0.417 | Loss: 0.45 | Abs. Loss: 6.53
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 10 (0.005s) | LR: 0.001 | KLD: 0.193, KLW: 0.1, Rec. Loss: 0.384 | Loss: 0.40 | Abs. Loss: 6.94
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 11 (0.005s) | LR: 0.001 | KLD: 0.184, KLW: 0.1, Rec. Loss: 0.359 | Loss: 0.38 | Abs. Loss: 7.31
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 12 (0.004s) | LR: 0.001 | KLD: 0.139, KLW: 0.1, Rec. Loss: 0.362 | Loss: 0.38 | Abs. Loss: 7.69
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 13 (0.004s) | LR: 0.001 | KLD: 0.079, KLW: 0.1, Rec. Loss: 0.365 | Loss: 0.37 | Abs. Loss: 8.06
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 14 (0.004s) | LR: 0.001 | KLD: 0.179, KLW: 0.1, Rec. Loss: 0.332 | Loss: 0.35 | Abs. Loss: 8.41
07/24/24 11:57:51 (0m 01s) | [1/5] Batch 15 (0.004s) | LR: 0.001 | KLD: 0.086, KLW: 0.1, Rec. Loss: 0.338 | Loss: 0.35 | Abs. Loss: 8.76
