Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 11:47:27] (0.22s) | Epoch: 1 | Batch: 0 (0.212s) | LR: 0.001 | KL Weight: 0.1 | Loss: 53108.66015625
[07/16/24 11:47:27] (0.32s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 52225.42578125
[07/16/24 11:47:27] (0.36s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 48782.22265625
[07/16/24 11:47:27] (0.40s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 38927.5703125
[07/16/24 11:47:28] (0.44s) | Epoch: 1 | Batch: 4 (0.029s) | LR: 0.001 | KL Weight: 0.1 | Loss: 35297.8671875
[07/16/24 11:47:28] (0.48s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 32438.927734375
[07/16/24 11:47:28] (0.51s) | Epoch: 1 | Batch: 6 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30837.154296875
[07/16/24 11:47:28] (0.55s) | Epoch: 1 | Batch: 7 (0.029s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30966.185546875
[07/16/24 11:47:28] (0.59s) | Epoch: 1 | Batch: 8 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30545.681640625
[07/16/24 11:47:28] (0.62s) | Epoch: 1 | Batch: 9 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30760.248046875
[07/16/24 11:47:28] (0.65s) | Epoch: 1 | Batch: 10 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29250.435546875
[07/16/24 11:47:28] (0.68s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28232.3515625
[07/16/24 11:47:28] (0.71s) | Epoch: 1 | Batch: 12 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25925.74609375
[07/16/24 11:47:28] (0.74s) | Epoch: 1 | Batch: 13 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25690.400390625
[07/16/24 11:47:28] (0.77s) | Epoch: 1 | Batch: 14 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25331.998046875
[07/16/24 11:47:28] (0.80s) | Epoch: 1 | Batch: 15 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22724.83203125
[07/16/24 11:47:28] (0.83s) | Epoch: 1 | Batch: 16 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22462.060546875
[07/16/24 11:47:28] (0.87s) | Epoch: 1 | Batch: 17 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23759.740234375
[07/16/24 11:47:28] (0.90s) | Epoch: 1 | Batch: 18 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24400.056640625
[07/16/24 11:47:28] (0.93s) | Epoch: 1 | Batch: 19 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23019.11328125
[07/16/24 11:47:28] (0.96s) | Epoch: 1 | Batch: 20 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23780.67578125
[07/16/24 11:47:28] (1.00s) | Epoch: 1 | Batch: 21 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21947.21484375
[07/16/24 11:47:28] (1.03s) | Epoch: 1 | Batch: 22 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21418.861328125
[07/16/24 11:47:28] (1.06s) | Epoch: 1 | Batch: 23 (0.018s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20071.822265625
[07/16/24 11:47:28] (1.09s) | Epoch: 1 | Batch: 24 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22075.310546875
