07/27/24 13:16:35 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/27/24 13:16:36 (0m 00s) | [1/15] Batch 0 (0.670s) | LR: 0.001 | KLW: 0, Rec. Loss: 55707.332 | Loss: 55707.33 | Abs. Loss: 55707.33
07/27/24 13:16:36 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 54255.242 | Loss: 54255.24 | Abs. Loss: 109962.57
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 2 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 46848.688 | Loss: 46848.69 | Abs. Loss: 156811.26
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 31403.363 | Loss: 31403.36 | Abs. Loss: 188214.62
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 4 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 98791.328 | Loss: 98791.33 | Abs. Loss: 287005.95
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 5 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 30890.119 | Loss: 30890.12 | Abs. Loss: 317896.07
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 6 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 37938.977 | Loss: 37938.98 | Abs. Loss: 355835.05
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 7 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 43633.336 | Loss: 43633.34 | Abs. Loss: 399468.38
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 43702.871 | Loss: 43702.87 | Abs. Loss: 443171.26
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 41398.680 | Loss: 41398.68 | Abs. Loss: 484569.94
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 37734.727 | Loss: 37734.73 | Abs. Loss: 522304.66
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 11 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 32508.504 | Loss: 32508.50 | Abs. Loss: 554813.17
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 12 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 29253.191 | Loss: 29253.19 | Abs. Loss: 584066.36
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 13 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 31046.684 | Loss: 31046.68 | Abs. Loss: 615113.04
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 14 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 33926.406 | Loss: 33926.41 | Abs. Loss: 649039.45
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 15 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 30972.676 | Loss: 30972.68 | Abs. Loss: 680012.12
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 16 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28697.660 | Loss: 28697.66 | Abs. Loss: 708709.78
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 17 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 29073.758 | Loss: 29073.76 | Abs. Loss: 737783.54
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 18 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 31246.803 | Loss: 31246.80 | Abs. Loss: 769030.34
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 19 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28772.430 | Loss: 28772.43 | Abs. Loss: 797802.77
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 20 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28050.902 | Loss: 28050.90 | Abs. Loss: 825853.68
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 21 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 28974.613 | Loss: 28974.61 | Abs. Loss: 854828.29
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 22 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 29104.625 | Loss: 29104.62 | Abs. Loss: 883932.91
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 23 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 26188.449 | Loss: 26188.45 | Abs. Loss: 910121.36
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 24 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 25867.734 | Loss: 25867.73 | Abs. Loss: 935989.10
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 25 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 26249.156 | Loss: 26249.16 | Abs. Loss: 962238.25
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 26 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 24345.414 | Loss: 24345.41 | Abs. Loss: 986583.67
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 27 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 22986.607 | Loss: 22986.61 | Abs. Loss: 1009570.28
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 28 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 23505.195 | Loss: 23505.20 | Abs. Loss: 1033075.47
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 29 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23202.125 | Loss: 23202.12 | Abs. Loss: 1056277.60
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 30 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 23660.484 | Loss: 23660.48 | Abs. Loss: 1079938.08
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 31 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 22770.283 | Loss: 22770.28 | Abs. Loss: 1102708.36
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 32 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 21636.562 | Loss: 21636.56 | Abs. Loss: 1124344.93
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 33 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 21043.854 | Loss: 21043.85 | Abs. Loss: 1145388.78
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 34 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 22122.426 | Loss: 22122.43 | Abs. Loss: 1167511.21
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 35 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 22259.463 | Loss: 22259.46 | Abs. Loss: 1189770.67
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 36 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20627.051 | Loss: 20627.05 | Abs. Loss: 1210397.72
07/27/24 13:16:37 (0m 01s) | [1/15] Batch 37 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 21429.066 | Loss: 21429.07 | Abs. Loss: 1231826.79
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 38 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21734.184 | Loss: 21734.18 | Abs. Loss: 1253560.97
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 39 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21364.707 | Loss: 21364.71 | Abs. Loss: 1274925.68
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 40 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21049.578 | Loss: 21049.58 | Abs. Loss: 1295975.25
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 41 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20907.818 | Loss: 20907.82 | Abs. Loss: 1316883.07
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 42 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 19843.914 | Loss: 19843.91 | Abs. Loss: 1336726.99
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 43 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20430.932 | Loss: 20430.93 | Abs. Loss: 1357157.92
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 44 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 21497.789 | Loss: 21497.79 | Abs. Loss: 1378655.71
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 45 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 21047.035 | Loss: 21047.04 | Abs. Loss: 1399702.74
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 46 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20883.047 | Loss: 20883.05 | Abs. Loss: 1420585.79
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 47 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20239.652 | Loss: 20239.65 | Abs. Loss: 1440825.44
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 48 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 21074.307 | Loss: 21074.31 | Abs. Loss: 1461899.75
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 49 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20964.627 | Loss: 20964.63 | Abs. Loss: 1482864.38
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 50 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20684.568 | Loss: 20684.57 | Abs. Loss: 1503548.94
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 51 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 20326.039 | Loss: 20326.04 | Abs. Loss: 1523874.98
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 52 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 19693.977 | Loss: 19693.98 | Abs. Loss: 1543568.96
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 53 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 19872.945 | Loss: 19872.95 | Abs. Loss: 1563441.90
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 54 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20113.230 | Loss: 20113.23 | Abs. Loss: 1583555.13
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 55 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20354.516 | Loss: 20354.52 | Abs. Loss: 1603909.65
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 56 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 20919.119 | Loss: 20919.12 | Abs. Loss: 1624828.77
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 57 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20428.723 | Loss: 20428.72 | Abs. Loss: 1645257.49
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 58 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20150.768 | Loss: 20150.77 | Abs. Loss: 1665408.26
07/27/24 13:16:37 (0m 02s) | [1/15] Batch 59 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 20543.258 | Loss: 20543.26 | Abs. Loss: 1685951.52
