08/08/24 16:49:15 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

08/08/24 16:49:15 (0m 00s) | [1/15] Batch 0 (0.688s) | LR: 0.001 | KLW: 0, Rec. Loss: 56415.902 | Loss: 56415.90 | Abs. Loss: 56415.90
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 55336.852 | Loss: 55336.85 | Abs. Loss: 111752.75
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 51187.477 | Loss: 51187.48 | Abs. Loss: 162940.23
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 40453.477 | Loss: 40453.48 | Abs. Loss: 203393.71
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 49548.625 | Loss: 49548.62 | Abs. Loss: 252942.33
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 31177.219 | Loss: 31177.22 | Abs. Loss: 284119.55
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 6 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 31586.537 | Loss: 31586.54 | Abs. Loss: 315706.09
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 7 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 33750.250 | Loss: 33750.25 | Abs. Loss: 349456.34
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 32036.699 | Loss: 32036.70 | Abs. Loss: 381493.04
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 9 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 31199.156 | Loss: 31199.16 | Abs. Loss: 412692.19
08/08/24 16:49:16 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 33232.898 | Loss: 33232.90 | Abs. Loss: 445925.09
