Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 16:41:45] (0.21s) | Epoch: 1 | Batch: 0 (0.204s) | LR: 0.001 | KL Weight: 0.1 | Loss: 52494.31640625
[07/16/24 16:41:45] (0.31s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 51586.57421875
[07/16/24 16:41:45] (0.35s) | Epoch: 1 | Batch: 2 (0.029s) | LR: 0.001 | KL Weight: 0.1 | Loss: 47465.48828125
[07/16/24 16:41:45] (0.39s) | Epoch: 1 | Batch: 3 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 35788.578125
[07/16/24 16:41:45] (0.43s) | Epoch: 1 | Batch: 4 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 51754.66796875
[07/16/24 16:41:45] (0.47s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29897.60546875
[07/16/24 16:41:45] (0.50s) | Epoch: 1 | Batch: 6 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31707.91015625
[07/16/24 16:41:45] (0.53s) | Epoch: 1 | Batch: 7 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 34758.9765625
[07/16/24 16:41:45] (0.56s) | Epoch: 1 | Batch: 8 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 34059.515625
[07/16/24 16:41:45] (0.59s) | Epoch: 1 | Batch: 9 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 32073.77734375
[07/16/24 16:41:45] (0.62s) | Epoch: 1 | Batch: 10 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29949.9296875
[07/16/24 16:41:45] (0.65s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30322.61328125
[07/16/24 16:41:46] (0.69s) | Epoch: 1 | Batch: 12 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31167.34375
[07/16/24 16:41:46] (0.72s) | Epoch: 1 | Batch: 13 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28733.556640625
[07/16/24 16:41:46] (0.75s) | Epoch: 1 | Batch: 14 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27513.5
[07/16/24 16:41:46] (0.78s) | Epoch: 1 | Batch: 15 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29630.7265625
[07/16/24 16:41:46] (0.81s) | Epoch: 1 | Batch: 16 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26842.708984375
[07/16/24 16:41:46] (0.84s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24272.0078125
[07/16/24 16:41:46] (0.87s) | Epoch: 1 | Batch: 18 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26491.740234375
[07/16/24 16:41:46] (0.90s) | Epoch: 1 | Batch: 19 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24767.162109375
[07/16/24 16:41:46] (0.94s) | Epoch: 1 | Batch: 20 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23611.130859375
[07/16/24 16:41:46] (0.97s) | Epoch: 1 | Batch: 21 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24339.373046875
[07/16/24 16:41:46] (1.00s) | Epoch: 1 | Batch: 22 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23062.03125
[07/16/24 16:41:46] (1.03s) | Epoch: 1 | Batch: 23 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21500.052734375
