07/27/24 13:13:30 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/27/24 13:13:31 (0m 01s) | [1/15] Batch 0 (1.115s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 54078.711 | Loss: 54079.41 | Abs. Loss: 54079.41
07/27/24 13:13:32 (0m 01s) | [1/15] Batch 1 (0.007s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 52888.578 | Loss: 52889.32 | Abs. Loss: 106968.73
07/27/24 13:13:32 (0m 01s) | [1/15] Batch 2 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 47230.406 | Loss: 47231.05 | Abs. Loss: 154199.79
07/27/24 13:13:32 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 36251.695 | Loss: 36253.41 | Abs. Loss: 190453.20
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 4 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 40763.043 | Loss: 40770.85 | Abs. Loss: 231224.05
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 34158.047 | Loss: 34160.53 | Abs. Loss: 265384.58
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 6 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 30706.828 | Loss: 30707.86 | Abs. Loss: 296092.44
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 7 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 32811.652 | Loss: 32812.31 | Abs. Loss: 328904.75
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 8 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 32948.891 | Loss: 32949.39 | Abs. Loss: 361854.14
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 31048.586 | Loss: 31049.02 | Abs. Loss: 392903.16
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 10 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 30260.359 | Loss: 30260.83 | Abs. Loss: 423163.99
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 11 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 30283.473 | Loss: 30283.95 | Abs. Loss: 453447.94
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 12 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 29278.375 | Loss: 29278.82 | Abs. Loss: 482726.76
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 13 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 28733.766 | Loss: 28734.27 | Abs. Loss: 511461.03
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 14 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 28866.523 | Loss: 28867.36 | Abs. Loss: 540328.39
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 15 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 29021.055 | Loss: 29021.84 | Abs. Loss: 569350.23
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 16 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 27948.793 | Loss: 27949.39 | Abs. Loss: 597299.62
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 17 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 26299.057 | Loss: 26299.60 | Abs. Loss: 623599.23
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 18 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 27311.391 | Loss: 27311.94 | Abs. Loss: 650911.16
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 19 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 25475.316 | Loss: 25475.98 | Abs. Loss: 676387.15
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 20 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 24960.156 | Loss: 24961.43 | Abs. Loss: 701348.58
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 21 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23528.051 | Loss: 23529.24 | Abs. Loss: 724877.82
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 22 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23578.859 | Loss: 23579.90 | Abs. Loss: 748457.71
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 23 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21468.105 | Loss: 21469.42 | Abs. Loss: 769927.13
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 24 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23137.441 | Loss: 23140.34 | Abs. Loss: 793067.47
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 25 (0.004s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 22594.152 | Loss: 22595.35 | Abs. Loss: 815662.83
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 26 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 23595.654 | Loss: 23596.63 | Abs. Loss: 839259.46
07/27/24 13:13:32 (0m 02s) | [1/15] Batch 27 (0.005s) | LR: 0.001 | KLW: 0.1, Rec. Loss: 21195.359 | Loss: 21196.43 | Abs. Loss: 860455.89
