07/17/24 14:56:32 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 14:56:32 (0m 00s) | [1/35] Batch 0 (0.708s) | LR: 0.001 | KLD: 4.707, KLW: 0.1, Rec. Loss: 55856.773 | Loss: 55857.24 | Abs. Loss: 55857.24
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 1 (0.006s) | LR: 0.001 | KLD: 6.801, KLW: 0.1, Rec. Loss: 54464.551 | Loss: 54465.23 | Abs. Loss: 110322.47
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 2 (0.005s) | LR: 0.001 | KLD: 22.004, KLW: 0.1, Rec. Loss: 47205.363 | Loss: 47207.56 | Abs. Loss: 157530.04
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 3 (0.004s) | LR: 0.001 | KLD: 153.413, KLW: 0.1, Rec. Loss: 34529.781 | Loss: 34545.12 | Abs. Loss: 192075.16
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 4 (0.004s) | LR: 0.001 | KLD: 187.172, KLW: 0.1, Rec. Loss: 40544.523 | Loss: 40563.24 | Abs. Loss: 232638.40
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 5 (0.005s) | LR: 0.001 | KLD: 39.787, KLW: 0.1, Rec. Loss: 29771.332 | Loss: 29775.31 | Abs. Loss: 262413.71
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 6 (0.005s) | LR: 0.001 | KLD: 13.945, KLW: 0.1, Rec. Loss: 33507.137 | Loss: 33508.53 | Abs. Loss: 295922.24
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 7 (0.005s) | LR: 0.001 | KLD: 7.876, KLW: 0.1, Rec. Loss: 32639.531 | Loss: 32640.32 | Abs. Loss: 328562.56
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 8 (0.004s) | LR: 0.001 | KLD: 6.035, KLW: 0.1, Rec. Loss: 29965.074 | Loss: 29965.68 | Abs. Loss: 358528.24
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 9 (0.004s) | LR: 0.001 | KLD: 6.288, KLW: 0.1, Rec. Loss: 30697.842 | Loss: 30698.47 | Abs. Loss: 389226.71
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 10 (0.004s) | LR: 0.001 | KLD: 5.932, KLW: 0.1, Rec. Loss: 30516.260 | Loss: 30516.85 | Abs. Loss: 419743.56
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 11 (0.005s) | LR: 0.001 | KLD: 5.911, KLW: 0.1, Rec. Loss: 29012.227 | Loss: 29012.82 | Abs. Loss: 448756.38
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 12 (0.004s) | LR: 0.001 | KLD: 10.301, KLW: 0.1, Rec. Loss: 28172.514 | Loss: 28173.54 | Abs. Loss: 476929.92
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 13 (0.004s) | LR: 0.001 | KLD: 26.334, KLW: 0.1, Rec. Loss: 28226.766 | Loss: 28229.40 | Abs. Loss: 505159.32
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 14 (0.004s) | LR: 0.001 | KLD: 34.641, KLW: 0.1, Rec. Loss: 28337.314 | Loss: 28340.78 | Abs. Loss: 533500.10
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 15 (0.004s) | LR: 0.001 | KLD: 23.297, KLW: 0.1, Rec. Loss: 25396.453 | Loss: 25398.78 | Abs. Loss: 558898.88
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 16 (0.004s) | LR: 0.001 | KLD: 20.531, KLW: 0.1, Rec. Loss: 24707.023 | Loss: 24709.08 | Abs. Loss: 583607.96
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 17 (0.004s) | LR: 0.001 | KLD: 43.106, KLW: 0.1, Rec. Loss: 25287.926 | Loss: 25292.24 | Abs. Loss: 608900.20
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 18 (0.004s) | LR: 0.001 | KLD: 145.872, KLW: 0.1, Rec. Loss: 24163.227 | Loss: 24177.81 | Abs. Loss: 633078.01
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 19 (0.004s) | LR: 0.001 | KLD: 100.238, KLW: 0.1, Rec. Loss: 22163.586 | Loss: 22173.61 | Abs. Loss: 655251.62
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 20 (0.005s) | LR: 0.001 | KLD: 91.757, KLW: 0.1, Rec. Loss: 23056.211 | Loss: 23065.39 | Abs. Loss: 678317.01
07/17/24 14:56:33 (0m 01s) | [1/35] Batch 21 (0.005s) | LR: 0.001 | KLD: 102.393, KLW: 0.1, Rec. Loss: 20773.322 | Loss: 20783.56 | Abs. Loss: 699100.57
