08/08/24 17:18:47 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

08/08/24 17:18:48 (0m 00s) | [1/15] Batch 0 (0.666s) | LR: 0.001 | KLW: 0, Rec. Loss: 54695.625 | Loss: 54695.62 | Abs. Loss: 54695.62
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 53763.500 | Loss: 53763.50 | Abs. Loss: 108459.12
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 50671.027 | Loss: 50671.03 | Abs. Loss: 159130.15
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 3 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 40337.258 | Loss: 40337.26 | Abs. Loss: 199467.41
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 4 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 35302.207 | Loss: 35302.21 | Abs. Loss: 234769.62
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 5 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 30631.312 | Loss: 30631.31 | Abs. Loss: 265400.93
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 6 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30790.562 | Loss: 30790.56 | Abs. Loss: 296191.49
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28992.916 | Loss: 28992.92 | Abs. Loss: 325184.41
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28871.277 | Loss: 28871.28 | Abs. Loss: 354055.69
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 9 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27734.062 | Loss: 27734.06 | Abs. Loss: 381789.75
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 10 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 28069.551 | Loss: 28069.55 | Abs. Loss: 409859.30
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 11 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27049.879 | Loss: 27049.88 | Abs. Loss: 436909.18
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 12 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 26766.254 | Loss: 26766.25 | Abs. Loss: 463675.43
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 13 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 25049.344 | Loss: 25049.34 | Abs. Loss: 488724.78
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 23457.434 | Loss: 23457.43 | Abs. Loss: 512182.21
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 15 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 24741.812 | Loss: 24741.81 | Abs. Loss: 536924.02
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 16 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 29606.928 | Loss: 29606.93 | Abs. Loss: 566530.95
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 17 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27734.672 | Loss: 27734.67 | Abs. Loss: 594265.62
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 18 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20939.650 | Loss: 20939.65 | Abs. Loss: 615205.27
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 19 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 26546.611 | Loss: 26546.61 | Abs. Loss: 641751.88
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 20 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23040.848 | Loss: 23040.85 | Abs. Loss: 664792.73
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 21 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 22632.441 | Loss: 22632.44 | Abs. Loss: 687425.17
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 22 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23351.906 | Loss: 23351.91 | Abs. Loss: 710777.08
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 23 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23345.090 | Loss: 23345.09 | Abs. Loss: 734122.17
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 24 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 22143.012 | Loss: 22143.01 | Abs. Loss: 756265.18
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 25 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 22267.227 | Loss: 22267.23 | Abs. Loss: 778532.41
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 26 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 22474.230 | Loss: 22474.23 | Abs. Loss: 801006.64
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 27 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 21607.125 | Loss: 21607.12 | Abs. Loss: 822613.76
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 28 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21701.609 | Loss: 21701.61 | Abs. Loss: 844315.37
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 29 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21922.906 | Loss: 21922.91 | Abs. Loss: 866238.28
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 30 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 21649.479 | Loss: 21649.48 | Abs. Loss: 887887.76
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 31 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21760.145 | Loss: 21760.14 | Abs. Loss: 909647.90
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 32 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21652.406 | Loss: 21652.41 | Abs. Loss: 931300.31
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 33 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 21718.016 | Loss: 21718.02 | Abs. Loss: 953018.32
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 34 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 22008.777 | Loss: 22008.78 | Abs. Loss: 975027.10
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 35 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 22028.168 | Loss: 22028.17 | Abs. Loss: 997055.27
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 36 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21338.562 | Loss: 21338.56 | Abs. Loss: 1018393.83
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 37 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20969.428 | Loss: 20969.43 | Abs. Loss: 1039363.26
08/08/24 17:18:49 (0m 01s) | [1/15] Batch 38 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 21413.486 | Loss: 21413.49 | Abs. Loss: 1060776.74
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 39 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20532.631 | Loss: 20532.63 | Abs. Loss: 1081309.38
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 40 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 21792.828 | Loss: 21792.83 | Abs. Loss: 1103102.20
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 41 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20698.016 | Loss: 20698.02 | Abs. Loss: 1123800.22
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 42 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20335.912 | Loss: 20335.91 | Abs. Loss: 1144136.13
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 43 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20745.869 | Loss: 20745.87 | Abs. Loss: 1164882.00
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 44 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20798.086 | Loss: 20798.09 | Abs. Loss: 1185680.09
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 45 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20136.059 | Loss: 20136.06 | Abs. Loss: 1205816.14
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 46 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20473.551 | Loss: 20473.55 | Abs. Loss: 1226289.70
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 47 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 19632.803 | Loss: 19632.80 | Abs. Loss: 1245922.50
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 48 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20282.996 | Loss: 20283.00 | Abs. Loss: 1266205.49
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 49 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 20395.719 | Loss: 20395.72 | Abs. Loss: 1286601.21
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 50 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19986.896 | Loss: 19986.90 | Abs. Loss: 1306588.11
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 51 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 19410.750 | Loss: 19410.75 | Abs. Loss: 1325998.86
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 52 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20115.746 | Loss: 20115.75 | Abs. Loss: 1346114.61
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 53 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 20208.771 | Loss: 20208.77 | Abs. Loss: 1366323.38
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 54 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 18976.859 | Loss: 18976.86 | Abs. Loss: 1385300.24
08/08/24 17:18:50 (0m 02s) | [1/15] Batch 55 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 20260.164 | Loss: 20260.16 | Abs. Loss: 1405560.40
