08/02/24 19:41:54 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

08/02/24 19:41:55 (0m 01s) | [1/15] Batch 0 (1.110s) | LR: 0.001 | KLW: 1, Rec. Loss: 53063.938 | Loss: 53075.80 | Abs. Loss: 53075.80
08/02/24 19:41:56 (0m 01s) | [1/15] Batch 1 (0.007s) | LR: 0.001 | KLW: 1, Rec. Loss: 51759.680 | Loss: 51764.82 | Abs. Loss: 104840.62
08/02/24 19:41:56 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 46311.523 | Loss: 46319.76 | Abs. Loss: 151160.38
08/02/24 19:41:56 (0m 01s) | [1/15] Batch 3 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 33691.824 | Loss: 33730.48 | Abs. Loss: 184890.86
08/02/24 19:41:56 (0m 01s) | [1/15] Batch 4 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 57791.852 | Loss: 58150.45 | Abs. Loss: 243041.30
08/02/24 19:41:56 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 31028.551 | Loss: 31084.82 | Abs. Loss: 274126.12
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 6 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 32371.703 | Loss: 32387.29 | Abs. Loss: 306513.41
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 7 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 35088.949 | Loss: 35097.26 | Abs. Loss: 341610.67
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 8 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 35257.781 | Loss: 35264.62 | Abs. Loss: 376875.29
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 32577.990 | Loss: 32586.52 | Abs. Loss: 409461.81
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 10 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 31190.074 | Loss: 31211.27 | Abs. Loss: 440673.08
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 11 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 32324.549 | Loss: 32382.31 | Abs. Loss: 473055.38
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 12 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 33489.004 | Loss: 33534.77 | Abs. Loss: 506590.16
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 13 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 28821.459 | Loss: 28839.65 | Abs. Loss: 535429.81
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 28724.807 | Loss: 28734.99 | Abs. Loss: 564164.80
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 15 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 29114.139 | Loss: 29127.31 | Abs. Loss: 593292.11
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 16 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 29270.365 | Loss: 29292.41 | Abs. Loss: 622584.52
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 17 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 28463.855 | Loss: 28498.24 | Abs. Loss: 651082.77
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 18 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 29821.592 | Loss: 29882.43 | Abs. Loss: 680965.20
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 19 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 28438.121 | Loss: 28495.87 | Abs. Loss: 709461.06
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 20 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 27465.676 | Loss: 27524.97 | Abs. Loss: 736986.03
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 21 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 26167.820 | Loss: 26234.90 | Abs. Loss: 763220.93
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 22 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 26154.023 | Loss: 26235.95 | Abs. Loss: 789456.88
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 23 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 24895.707 | Loss: 24987.73 | Abs. Loss: 814444.61
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 24 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 23935.494 | Loss: 24056.63 | Abs. Loss: 838501.24
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 25 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 22667.453 | Loss: 22916.44 | Abs. Loss: 861417.68
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 26 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 21368.832 | Loss: 21702.88 | Abs. Loss: 883120.56
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 27 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 22848.330 | Loss: 23151.70 | Abs. Loss: 906272.26
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 28 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21987.984 | Loss: 22302.45 | Abs. Loss: 928574.71
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 29 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 23778.025 | Loss: 24081.82 | Abs. Loss: 952656.53
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 30 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 22567.545 | Loss: 22663.38 | Abs. Loss: 975319.92
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 31 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 21983.697 | Loss: 22038.38 | Abs. Loss: 997358.30
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 32 (0.004s) | LR: 0.001 | KLW: 1, Rec. Loss: 21435.934 | Loss: 21501.73 | Abs. Loss: 1018860.03
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 33 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21400.141 | Loss: 21462.15 | Abs. Loss: 1040322.18
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 34 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21758.918 | Loss: 21803.27 | Abs. Loss: 1062125.45
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 35 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 22283.107 | Loss: 22312.12 | Abs. Loss: 1084437.57
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 36 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21906.793 | Loss: 21933.12 | Abs. Loss: 1106370.69
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 37 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 21080.203 | Loss: 21113.73 | Abs. Loss: 1127484.43
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 38 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 21130.336 | Loss: 21179.71 | Abs. Loss: 1148664.14
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 39 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 20795.312 | Loss: 20849.94 | Abs. Loss: 1169514.08
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 40 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 20809.123 | Loss: 20859.78 | Abs. Loss: 1190373.86
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 41 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 20389.164 | Loss: 20437.01 | Abs. Loss: 1210810.87
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 42 (0.006s) | LR: 0.001 | KLW: 1, Rec. Loss: 20965.438 | Loss: 21021.54 | Abs. Loss: 1231832.41
08/02/24 19:41:56 (0m 02s) | [1/15] Batch 43 (0.005s) | LR: 0.001 | KLW: 1, Rec. Loss: 20099.004 | Loss: 20153.96 | Abs. Loss: 1251986.37
