08/08/24 16:38:05 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

08/08/24 16:38:06 (0m 00s) | [1/15] Batch 0 (0.679s) | LR: 0.001 | KLW: 0, Rec. Loss: 55198.844 | Loss: 55198.84 | Abs. Loss: 55198.84
08/08/24 16:38:06 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 54022.688 | Loss: 54022.69 | Abs. Loss: 109221.53
08/08/24 16:38:06 (0m 01s) | [1/15] Batch 2 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 47763.648 | Loss: 47763.65 | Abs. Loss: 156985.18
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 33008.961 | Loss: 33008.96 | Abs. Loss: 189994.14
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 33173.328 | Loss: 33173.33 | Abs. Loss: 223167.47
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 31545.730 | Loss: 31545.73 | Abs. Loss: 254713.20
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 6 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 32440.531 | Loss: 32440.53 | Abs. Loss: 287153.73
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30152.250 | Loss: 30152.25 | Abs. Loss: 317305.98
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30387.225 | Loss: 30387.22 | Abs. Loss: 347693.21
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 29547.566 | Loss: 29547.57 | Abs. Loss: 377240.77
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 10 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 28876.871 | Loss: 28876.87 | Abs. Loss: 406117.64
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 11 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 28365.600 | Loss: 28365.60 | Abs. Loss: 434483.24
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 12 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 28720.750 | Loss: 28720.75 | Abs. Loss: 463203.99
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 13 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 26756.734 | Loss: 26756.73 | Abs. Loss: 489960.73
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 14 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 23683.820 | Loss: 23683.82 | Abs. Loss: 513644.55
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 15 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 22729.062 | Loss: 22729.06 | Abs. Loss: 536373.61
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 16 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 34791.746 | Loss: 34791.75 | Abs. Loss: 571165.36
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 17 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 31605.176 | Loss: 31605.18 | Abs. Loss: 602770.53
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 18 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 34217.531 | Loss: 34217.53 | Abs. Loss: 636988.06
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 19 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27296.648 | Loss: 27296.65 | Abs. Loss: 664284.71
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 20 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 25021.355 | Loss: 25021.36 | Abs. Loss: 689306.07
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 21 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 26521.240 | Loss: 26521.24 | Abs. Loss: 715827.31
08/08/24 16:38:07 (0m 01s) | [1/15] Batch 22 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28917.758 | Loss: 28917.76 | Abs. Loss: 744745.06
