Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:40:39] (0.21s) | Epoch: 1 | Batch: 0 (0.203s) | LR: 0.001 | KL Weight: 0.1 | Loss: 52679.62890625
[07/16/24 13:40:40] (0.31s) | Epoch: 1 | Batch: 1 (0.015s) | LR: 0.001 | KL Weight: 0.1 | Loss: 51375.640625
[07/16/24 13:40:40] (0.35s) | Epoch: 1 | Batch: 2 (0.029s) | LR: 0.001 | KL Weight: 0.1 | Loss: 45344.38671875
[07/16/24 13:40:40] (0.39s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 32277.05859375
[07/16/24 13:40:40] (0.43s) | Epoch: 1 | Batch: 4 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 43446.546875
[07/16/24 13:40:40] (0.46s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30127.712890625
[07/16/24 13:40:40] (0.50s) | Epoch: 1 | Batch: 6 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33756.0078125
[07/16/24 13:40:40] (0.54s) | Epoch: 1 | Batch: 7 (0.026s) | LR: 0.001 | KL Weight: 0.1 | Loss: 34286.046875
[07/16/24 13:40:40] (0.58s) | Epoch: 1 | Batch: 8 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31319.677734375
[07/16/24 13:40:40] (0.61s) | Epoch: 1 | Batch: 9 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29423.443359375
[07/16/24 13:40:40] (0.64s) | Epoch: 1 | Batch: 10 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30519.822265625
[07/16/24 13:40:40] (0.67s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30584.453125
[07/16/24 13:40:40] (0.70s) | Epoch: 1 | Batch: 12 (0.018s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29215.8515625
[07/16/24 13:40:40] (0.73s) | Epoch: 1 | Batch: 13 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26119.7578125
[07/16/24 13:40:40] (0.77s) | Epoch: 1 | Batch: 14 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27616.59375
[07/16/24 13:40:40] (0.80s) | Epoch: 1 | Batch: 15 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27081.595703125
[07/16/24 13:40:40] (0.83s) | Epoch: 1 | Batch: 16 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25673.955078125
[07/16/24 13:40:40] (0.86s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24603.99609375
[07/16/24 13:40:40] (0.89s) | Epoch: 1 | Batch: 18 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24304.75
[07/16/24 13:40:40] (0.92s) | Epoch: 1 | Batch: 19 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23967.056640625
[07/16/24 13:40:40] (0.96s) | Epoch: 1 | Batch: 20 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23650.9609375
[07/16/24 13:40:40] (0.99s) | Epoch: 1 | Batch: 21 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22476.5703125
[07/16/24 13:40:40] (1.02s) | Epoch: 1 | Batch: 22 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21573.943359375
[07/16/24 13:40:40] (1.05s) | Epoch: 1 | Batch: 23 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21672.353515625
[07/16/24 13:40:40] (1.08s) | Epoch: 1 | Batch: 24 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21118.3984375
[07/16/24 13:40:40] (1.11s) | Epoch: 1 | Batch: 25 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20575.828125
[07/16/24 13:40:40] (1.15s) | Epoch: 1 | Batch: 26 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21509.046875
[07/16/24 13:40:40] (1.18s) | Epoch: 1 | Batch: 27 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21247.54296875
