07/17/24 19:24:32 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 19:24:33 (0m 00s) | [1/15] Batch 0 (0.701s) | LR: 0.001 | KLD: 4.416, KLW: 0.1, Rec. Loss: 53127.695 | Loss: 53128.14 | Abs. Loss: 53128.14
07/17/24 19:24:33 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLD: 7.458, KLW: 0.1, Rec. Loss: 52046.383 | Loss: 52047.13 | Abs. Loss: 105175.27
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLD: 11.790, KLW: 0.1, Rec. Loss: 47812.707 | Loss: 47813.89 | Abs. Loss: 152989.15
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.001 | KLD: 74.751, KLW: 0.1, Rec. Loss: 35931.777 | Loss: 35939.25 | Abs. Loss: 188928.41
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 4 (0.004s) | LR: 0.001 | KLD: 531.945, KLW: 0.1, Rec. Loss: 56244.852 | Loss: 56298.05 | Abs. Loss: 245226.45
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 5 (0.005s) | LR: 0.001 | KLD: 122.213, KLW: 0.1, Rec. Loss: 32041.883 | Loss: 32054.10 | Abs. Loss: 277280.56
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 6 (0.004s) | LR: 0.001 | KLD: 34.280, KLW: 0.1, Rec. Loss: 33177.492 | Loss: 33180.92 | Abs. Loss: 310461.48
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLD: 18.010, KLW: 0.1, Rec. Loss: 36164.465 | Loss: 36166.27 | Abs. Loss: 346627.74
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 8 (0.004s) | LR: 0.001 | KLD: 14.124, KLW: 0.1, Rec. Loss: 35682.270 | Loss: 35683.68 | Abs. Loss: 382311.43
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLD: 13.524, KLW: 0.1, Rec. Loss: 33283.945 | Loss: 33285.30 | Abs. Loss: 415596.72
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLD: 15.229, KLW: 0.1, Rec. Loss: 29898.066 | Loss: 29899.59 | Abs. Loss: 445496.31
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 11 (0.005s) | LR: 0.001 | KLD: 19.267, KLW: 0.1, Rec. Loss: 30156.988 | Loss: 30158.91 | Abs. Loss: 475655.23
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 12 (0.006s) | LR: 0.001 | KLD: 20.943, KLW: 0.1, Rec. Loss: 30766.559 | Loss: 30768.65 | Abs. Loss: 506423.88
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 13 (0.006s) | LR: 0.001 | KLD: 19.727, KLW: 0.1, Rec. Loss: 30024.924 | Loss: 30026.90 | Abs. Loss: 536450.78
07/17/24 19:24:34 (0m 01s) | [1/15] Batch 14 (0.005s) | LR: 0.001 | KLD: 21.859, KLW: 0.1, Rec. Loss: 28866.723 | Loss: 28868.91 | Abs. Loss: 565319.69
