07/24/24 12:01:36 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/24/24 12:01:37 (0m 00s) | [1/15] Batch 0 (0.686s) | LR: 0.001 | KLD: 3.086, KLW: 0, Rec. Loss: 0.701 | Loss: 0.70 | Abs. Loss: 0.70
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLD: 9.775, KLW: 0, Rec. Loss: 0.687 | Loss: 0.69 | Abs. Loss: 1.39
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLD: 48.112, KLW: 0, Rec. Loss: 0.625 | Loss: 0.63 | Abs. Loss: 2.01
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 3 (0.005s) | LR: 0.001 | KLD: 384.899, KLW: 0, Rec. Loss: 0.411 | Loss: 0.41 | Abs. Loss: 2.42
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 4 (0.005s) | LR: 0.001 | KLD: 3468.468, KLW: 0, Rec. Loss: 1.426 | Loss: 1.43 | Abs. Loss: 3.85
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 5 (0.004s) | LR: 0.001 | KLD: 711.743, KLW: 0, Rec. Loss: 0.463 | Loss: 0.46 | Abs. Loss: 4.31
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 6 (0.004s) | LR: 0.001 | KLD: 132.711, KLW: 0, Rec. Loss: 0.476 | Loss: 0.48 | Abs. Loss: 4.79
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 7 (0.004s) | LR: 0.001 | KLD: 46.148, KLW: 0, Rec. Loss: 0.568 | Loss: 0.57 | Abs. Loss: 5.36
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 8 (0.005s) | LR: 0.001 | KLD: 22.038, KLW: 0, Rec. Loss: 0.592 | Loss: 0.59 | Abs. Loss: 5.95
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLD: 17.731, KLW: 0, Rec. Loss: 0.602 | Loss: 0.60 | Abs. Loss: 6.55
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 10 (0.004s) | LR: 0.001 | KLD: 15.206, KLW: 0, Rec. Loss: 0.587 | Loss: 0.59 | Abs. Loss: 7.14
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 11 (0.004s) | LR: 0.001 | KLD: 19.180, KLW: 0, Rec. Loss: 0.560 | Loss: 0.56 | Abs. Loss: 7.70
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 12 (0.006s) | LR: 0.001 | KLD: 35.899, KLW: 0, Rec. Loss: 0.515 | Loss: 0.52 | Abs. Loss: 8.22
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 13 (0.004s) | LR: 0.001 | KLD: 80.141, KLW: 0, Rec. Loss: 0.443 | Loss: 0.44 | Abs. Loss: 8.66
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 14 (0.006s) | LR: 0.001 | KLD: 204.706, KLW: 0, Rec. Loss: 0.396 | Loss: 0.40 | Abs. Loss: 9.05
07/24/24 12:01:38 (0m 01s) | [1/15] Batch 15 (0.005s) | LR: 0.001 | KLD: 354.504, KLW: 0, Rec. Loss: 0.474 | Loss: 0.47 | Abs. Loss: 9.53
