Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 21:02:21] (0.22s) | Epoch: 1 | Batch: 0 (0.206s) | LR: 0.001 | KL Weight: 0.1 | Loss: 53853.0234375
[07/16/24 21:02:21] (0.32s) | Epoch: 1 | Batch: 1 (0.013s) | LR: 0.001 | KL Weight: 0.1 | Loss: 52741.23828125
[07/16/24 21:02:21] (0.36s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 48296.7578125
[07/16/24 21:02:21] (0.39s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 34675.17578125
[07/16/24 21:02:21] (0.43s) | Epoch: 1 | Batch: 4 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 78079.9609375
[07/16/24 21:02:22] (0.47s) | Epoch: 1 | Batch: 5 (0.026s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33221.5625
[07/16/24 21:02:22] (0.51s) | Epoch: 1 | Batch: 6 (0.026s) | LR: 0.001 | KL Weight: 0.1 | Loss: 35520.25
[07/16/24 21:02:22] (0.54s) | Epoch: 1 | Batch: 7 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 40047.32421875
[07/16/24 21:02:22] (0.58s) | Epoch: 1 | Batch: 8 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 41488.375
[07/16/24 21:02:22] (0.61s) | Epoch: 1 | Batch: 9 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 40268.42578125
[07/16/24 21:02:22] (0.64s) | Epoch: 1 | Batch: 10 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 37030.08984375
[07/16/24 21:02:22] (0.67s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33250.953125
[07/16/24 21:02:22] (0.71s) | Epoch: 1 | Batch: 12 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29490.515625
[07/16/24 21:02:22] (0.74s) | Epoch: 1 | Batch: 13 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31555.658203125
[07/16/24 21:02:22] (0.77s) | Epoch: 1 | Batch: 14 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 35423.140625
[07/16/24 21:02:22] (0.80s) | Epoch: 1 | Batch: 15 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33818.9921875
[07/16/24 21:02:22] (0.83s) | Epoch: 1 | Batch: 16 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29883.21484375
[07/16/24 21:02:22] (0.86s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29430.80078125
[07/16/24 21:02:22] (0.89s) | Epoch: 1 | Batch: 18 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29065.720703125
[07/16/24 21:02:22] (0.92s) | Epoch: 1 | Batch: 19 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29499.6796875
[07/16/24 21:02:22] (0.96s) | Epoch: 1 | Batch: 20 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29294.07421875
[07/16/24 21:02:22] (0.99s) | Epoch: 1 | Batch: 21 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27801.35546875
[07/16/24 21:02:22] (1.02s) | Epoch: 1 | Batch: 22 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27058.58203125
[07/16/24 21:02:22] (1.05s) | Epoch: 1 | Batch: 23 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27736.1640625
[07/16/24 21:02:22] (1.08s) | Epoch: 1 | Batch: 24 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25543.0703125
[07/16/24 21:02:22] (1.11s) | Epoch: 1 | Batch: 25 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24977.837890625
[07/16/24 21:02:22] (1.14s) | Epoch: 1 | Batch: 26 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24871.708984375
[07/16/24 21:02:22] (1.17s) | Epoch: 1 | Batch: 27 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22719.87109375
[07/16/24 21:02:22] (1.21s) | Epoch: 1 | Batch: 28 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24221.04296875
[07/16/24 21:02:22] (1.24s) | Epoch: 1 | Batch: 29 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23738.224609375
[07/16/24 21:02:22] (1.27s) | Epoch: 1 | Batch: 30 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24012.34375
[07/16/24 21:02:22] (1.30s) | Epoch: 1 | Batch: 31 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21649.47265625
[07/16/24 21:02:22] (1.33s) | Epoch: 1 | Batch: 32 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21620.0859375
[07/16/24 21:02:22] (1.37s) | Epoch: 1 | Batch: 33 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22107.10546875
[07/16/24 21:02:22] (1.40s) | Epoch: 1 | Batch: 34 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22258.6171875
[07/16/24 21:02:22] (1.43s) | Epoch: 1 | Batch: 35 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20598.224609375
[07/16/24 21:02:23] (1.46s) | Epoch: 1 | Batch: 36 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21114.271484375
[07/16/24 21:02:23] (1.49s) | Epoch: 1 | Batch: 37 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21576.537109375
[07/16/24 21:02:23] (1.52s) | Epoch: 1 | Batch: 38 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20879.095703125
[07/16/24 21:02:23] (1.55s) | Epoch: 1 | Batch: 39 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21095.07421875
[07/16/24 21:02:23] (1.58s) | Epoch: 1 | Batch: 40 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20794.55078125
[07/16/24 21:02:23] (1.61s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20780.548828125
[07/16/24 21:02:23] (1.65s) | Epoch: 1 | Batch: 42 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21002.642578125
[07/16/24 21:02:23] (1.68s) | Epoch: 1 | Batch: 43 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20962.13671875
[07/16/24 21:02:23] (1.71s) | Epoch: 1 | Batch: 44 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20873.443359375
[07/16/24 21:02:23] (1.74s) | Epoch: 1 | Batch: 45 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20532.205078125
[07/16/24 21:02:23] (1.77s) | Epoch: 1 | Batch: 46 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20795.65625
[07/16/24 21:02:23] (1.80s) | Epoch: 1 | Batch: 47 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20570.96875
