07/17/24 12:30:04 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 12:30:05 (0.68s) | Epoch: 1 | Batch: 0 (0.673s) | LR: 0.001 | KL Weight: 0.1 | Loss: 55452.63
07/17/24 12:30:06 (1.43s) | Epoch: 1 | Batch: 1 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 54352.98
07/17/24 12:30:06 (1.45s) | Epoch: 1 | Batch: 2 (0.007s) | LR: 0.001 | KL Weight: 0.1 | Loss: 50371.10
07/17/24 12:30:06 (1.47s) | Epoch: 1 | Batch: 3 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 37784.45
07/17/24 12:30:06 (1.48s) | Epoch: 1 | Batch: 4 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 42679.24
07/17/24 12:30:06 (1.50s) | Epoch: 1 | Batch: 5 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30582.23
07/17/24 12:30:06 (1.52s) | Epoch: 1 | Batch: 6 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31940.83
07/17/24 12:30:06 (1.53s) | Epoch: 1 | Batch: 7 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 32778.23
07/17/24 12:30:06 (1.55s) | Epoch: 1 | Batch: 8 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30451.58
07/17/24 12:30:06 (1.57s) | Epoch: 1 | Batch: 9 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29775.17
07/17/24 12:30:06 (1.58s) | Epoch: 1 | Batch: 10 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29282.83
07/17/24 12:30:06 (1.60s) | Epoch: 1 | Batch: 11 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29855.83
07/17/24 12:30:06 (1.62s) | Epoch: 1 | Batch: 12 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29289.18
07/17/24 12:30:06 (1.63s) | Epoch: 1 | Batch: 13 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26561.74
07/17/24 12:30:06 (1.65s) | Epoch: 1 | Batch: 14 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26733.55
07/17/24 12:30:06 (1.67s) | Epoch: 1 | Batch: 15 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26761.91
07/17/24 12:30:06 (1.68s) | Epoch: 1 | Batch: 16 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25471.46
07/17/24 12:30:06 (1.70s) | Epoch: 1 | Batch: 17 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24163.85
07/17/24 12:30:06 (1.72s) | Epoch: 1 | Batch: 18 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23525.29
07/17/24 12:30:06 (1.73s) | Epoch: 1 | Batch: 19 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23153.98
07/17/24 12:30:06 (1.75s) | Epoch: 1 | Batch: 20 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24446.05
07/17/24 12:30:06 (1.77s) | Epoch: 1 | Batch: 21 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24056.93
07/17/24 12:30:06 (1.78s) | Epoch: 1 | Batch: 22 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21744.56
07/17/24 12:30:06 (1.80s) | Epoch: 1 | Batch: 23 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23971.79
07/17/24 12:30:06 (1.82s) | Epoch: 1 | Batch: 24 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21185.38
07/17/24 12:30:06 (1.83s) | Epoch: 1 | Batch: 25 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21686.29
07/17/24 12:30:06 (1.85s) | Epoch: 1 | Batch: 26 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22496.44
07/17/24 12:30:06 (1.86s) | Epoch: 1 | Batch: 27 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21491.61
07/17/24 12:30:06 (1.88s) | Epoch: 1 | Batch: 28 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21910.88
07/17/24 12:30:06 (1.90s) | Epoch: 1 | Batch: 29 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20810.93
07/17/24 12:30:06 (1.92s) | Epoch: 1 | Batch: 30 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21749.37
07/17/24 12:30:06 (1.93s) | Epoch: 1 | Batch: 31 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20511.20
07/17/24 12:30:06 (1.95s) | Epoch: 1 | Batch: 32 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21110.37
07/17/24 12:30:06 (1.97s) | Epoch: 1 | Batch: 33 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21855.71
07/17/24 12:30:06 (1.98s) | Epoch: 1 | Batch: 34 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20505.57
07/17/24 12:30:06 (2.00s) | Epoch: 1 | Batch: 35 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19982.60
