07/27/24 13:21:26 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))

07/27/24 13:21:27 (0m 00s) | [1/15] Batch 0 (0.672s) | LR: 0.001 | KLW: 0, Rec. Loss: 55166.375 | Loss: 55166.38 | Abs. Loss: 55166.38
07/27/24 13:21:27 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 54445.695 | Loss: 54445.70 | Abs. Loss: 109612.07
07/27/24 13:21:27 (0m 01s) | [1/15] Batch 2 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 51926.883 | Loss: 51926.88 | Abs. Loss: 161538.95
07/27/24 13:21:27 (0m 01s) | [1/15] Batch 3 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 39438.844 | Loss: 39438.84 | Abs. Loss: 200977.80
07/27/24 13:21:27 (0m 01s) | [1/15] Batch 4 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 51502.359 | Loss: 51502.36 | Abs. Loss: 252480.16
07/27/24 13:21:27 (0m 01s) | [1/15] Batch 5 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30987.436 | Loss: 30987.44 | Abs. Loss: 283467.59
07/27/24 13:21:27 (0m 01s) | [1/15] Batch 6 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 36424.551 | Loss: 36424.55 | Abs. Loss: 319892.14
07/27/24 13:21:27 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 36657.977 | Loss: 36657.98 | Abs. Loss: 356550.12
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 8 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 34448.031 | Loss: 34448.03 | Abs. Loss: 390998.15
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 9 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 30693.395 | Loss: 30693.39 | Abs. Loss: 421691.54
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 27831.787 | Loss: 27831.79 | Abs. Loss: 449523.33
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 11 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 31952.723 | Loss: 31952.72 | Abs. Loss: 481476.05
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 12 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 29410.914 | Loss: 29410.91 | Abs. Loss: 510886.97
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 13 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 25227.457 | Loss: 25227.46 | Abs. Loss: 536114.43
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 14 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 24133.506 | Loss: 24133.51 | Abs. Loss: 560247.93
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 15 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 24820.258 | Loss: 24820.26 | Abs. Loss: 585068.19
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 16 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 26340.779 | Loss: 26340.78 | Abs. Loss: 611408.97
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 17 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 25607.371 | Loss: 25607.37 | Abs. Loss: 637016.34
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 18 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 23246.930 | Loss: 23246.93 | Abs. Loss: 660263.27
07/27/24 13:21:28 (0m 01s) | [1/15] Batch 19 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 22971.480 | Loss: 22971.48 | Abs. Loss: 683234.75
