Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 12:17:25] (0.22s) | Epoch: 1 | Batch: 0 (0.211s) | LR: 0.001 | KL Weight: 0.1 | Loss: 54807.28125
[07/16/24 12:17:25] (0.32s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 53649.5078125
[07/16/24 12:17:25] (0.36s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 0.1 | Loss: 48635.28125
[07/16/24 12:17:25] (0.40s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 34900.640625
[07/16/24 12:17:25] (0.43s) | Epoch: 1 | Batch: 4 (0.026s) | LR: 0.001 | KL Weight: 0.1 | Loss: 50847.65234375
[07/16/24 12:17:25] (0.47s) | Epoch: 1 | Batch: 5 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31818.755859375
[07/16/24 12:17:25] (0.51s) | Epoch: 1 | Batch: 6 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 31510.580078125
[07/16/24 12:17:25] (0.55s) | Epoch: 1 | Batch: 7 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 34311.00390625
[07/16/24 12:17:25] (0.58s) | Epoch: 1 | Batch: 8 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 33330.09765625
[07/16/24 12:17:25] (0.61s) | Epoch: 1 | Batch: 9 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30243.6171875
[07/16/24 12:17:25] (0.64s) | Epoch: 1 | Batch: 10 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28936.486328125
[07/16/24 12:17:25] (0.67s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29189.486328125
[07/16/24 12:17:25] (0.70s) | Epoch: 1 | Batch: 12 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30079.310546875
[07/16/24 12:17:25] (0.73s) | Epoch: 1 | Batch: 13 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29886.310546875
[07/16/24 12:17:25] (0.77s) | Epoch: 1 | Batch: 14 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26496.25390625
[07/16/24 12:17:25] (0.80s) | Epoch: 1 | Batch: 15 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26689.873046875
[07/16/24 12:17:25] (0.83s) | Epoch: 1 | Batch: 16 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26927.69921875
[07/16/24 12:17:25] (0.87s) | Epoch: 1 | Batch: 17 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25844.216796875
[07/16/24 12:17:25] (0.90s) | Epoch: 1 | Batch: 18 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22538.8359375
[07/16/24 12:17:25] (0.94s) | Epoch: 1 | Batch: 19 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24400.501953125
[07/16/24 12:17:25] (0.97s) | Epoch: 1 | Batch: 20 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26039.287109375
[07/16/24 12:17:25] (1.01s) | Epoch: 1 | Batch: 21 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23308.3125
[07/16/24 12:17:26] (1.04s) | Epoch: 1 | Batch: 22 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24410.396484375
[07/16/24 12:17:26] (1.08s) | Epoch: 1 | Batch: 23 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23777.712890625
[07/16/24 12:17:26] (1.11s) | Epoch: 1 | Batch: 24 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 23235.654296875
[07/16/24 12:17:26] (1.15s) | Epoch: 1 | Batch: 25 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22343.658203125
[07/16/24 12:17:26] (1.18s) | Epoch: 1 | Batch: 26 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22428.888671875
[07/16/24 12:17:26] (1.22s) | Epoch: 1 | Batch: 27 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21666.82421875
[07/16/24 12:17:26] (1.25s) | Epoch: 1 | Batch: 28 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22124.783203125
[07/16/24 12:17:26] (1.29s) | Epoch: 1 | Batch: 29 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21612.99609375
[07/16/24 12:17:26] (1.32s) | Epoch: 1 | Batch: 30 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21806.921875
[07/16/24 12:17:26] (1.35s) | Epoch: 1 | Batch: 31 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20867.06640625
[07/16/24 12:17:26] (1.39s) | Epoch: 1 | Batch: 32 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20625.5625
[07/16/24 12:17:26] (1.43s) | Epoch: 1 | Batch: 33 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20814.5
[07/16/24 12:17:26] (1.46s) | Epoch: 1 | Batch: 34 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20756.861328125
[07/16/24 12:17:26] (1.50s) | Epoch: 1 | Batch: 35 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20565.466796875
[07/16/24 12:17:26] (1.53s) | Epoch: 1 | Batch: 36 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20844.404296875
[07/16/24 12:17:26] (1.56s) | Epoch: 1 | Batch: 37 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20925.494140625
[07/16/24 12:17:26] (1.60s) | Epoch: 1 | Batch: 38 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20377.755859375
[07/16/24 12:17:26] (1.63s) | Epoch: 1 | Batch: 39 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19641.20703125
[07/16/24 12:17:26] (1.66s) | Epoch: 1 | Batch: 40 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20142.2265625
[07/16/24 12:17:26] (1.70s) | Epoch: 1 | Batch: 41 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20313.9375
[07/16/24 12:17:26] (1.73s) | Epoch: 1 | Batch: 42 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20503.58984375
[07/16/24 12:17:26] (1.76s) | Epoch: 1 | Batch: 43 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20196.505859375
