07/24/24 11:52:05 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/24/24 11:52:05 (0m 00s) | [1/10] Batch 0 (0.680s) | LR: 0.001 | KLD: 4.787, KLW: 0.1, Rec. Loss: 0.676 | Loss: 1.15 | Abs. Loss: 1.15
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 1 (0.006s) | LR: 0.001 | KLD: 1.614, KLW: 0.1, Rec. Loss: 0.664 | Loss: 0.83 | Abs. Loss: 1.98
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 2 (0.005s) | LR: 0.001 | KLD: 1.087, KLW: 0.1, Rec. Loss: 0.625 | Loss: 0.73 | Abs. Loss: 2.71
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 3 (0.005s) | LR: 0.001 | KLD: 0.213, KLW: 0.1, Rec. Loss: 0.514 | Loss: 0.54 | Abs. Loss: 3.25
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 4 (0.006s) | LR: 0.001 | KLD: 0.412, KLW: 0.1, Rec. Loss: 0.406 | Loss: 0.45 | Abs. Loss: 3.70
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 5 (0.006s) | LR: 0.001 | KLD: 0.150, KLW: 0.1, Rec. Loss: 0.497 | Loss: 0.51 | Abs. Loss: 4.21
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 6 (0.006s) | LR: 0.001 | KLD: 0.145, KLW: 0.1, Rec. Loss: 0.444 | Loss: 0.46 | Abs. Loss: 4.67
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 7 (0.006s) | LR: 0.001 | KLD: 0.212, KLW: 0.1, Rec. Loss: 0.384 | Loss: 0.41 | Abs. Loss: 5.07
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 8 (0.006s) | LR: 0.001 | KLD: 0.186, KLW: 0.1, Rec. Loss: 0.412 | Loss: 0.43 | Abs. Loss: 5.50
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 9 (0.006s) | LR: 0.001 | KLD: 0.126, KLW: 0.1, Rec. Loss: 0.428 | Loss: 0.44 | Abs. Loss: 5.94
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 10 (0.005s) | LR: 0.001 | KLD: 0.108, KLW: 0.1, Rec. Loss: 0.414 | Loss: 0.42 | Abs. Loss: 6.37
07/24/24 11:52:06 (0m 01s) | [1/10] Batch 11 (0.005s) | LR: 0.001 | KLD: 0.081, KLW: 0.1, Rec. Loss: 0.372 | Loss: 0.38 | Abs. Loss: 6.75
