07/27/24 13:19:35 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/27/24 13:19:35 (0m 00s) | [1/8] Batch 0 (0.674s) | LR: 0.001 | KLW: 0, Rec. Loss: 53351.637 | Loss: 53351.64 | Abs. Loss: 53351.64
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 52421.887 | Loss: 52421.89 | Abs. Loss: 105773.52
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 2 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 48811.129 | Loss: 48811.13 | Abs. Loss: 154584.65
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 3 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 37183.113 | Loss: 37183.11 | Abs. Loss: 191767.77
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 4 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 47454.336 | Loss: 47454.34 | Abs. Loss: 239222.10
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 5 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 32079.617 | Loss: 32079.62 | Abs. Loss: 271301.72
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 6 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 33680.824 | Loss: 33680.82 | Abs. Loss: 304982.54
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 7 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 35125.098 | Loss: 35125.10 | Abs. Loss: 340107.64
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 8 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 33499.707 | Loss: 33499.71 | Abs. Loss: 373607.35
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 9 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30079.016 | Loss: 30079.02 | Abs. Loss: 403686.36
07/27/24 13:19:36 (0m 01s) | [1/8] Batch 10 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 28580.363 | Loss: 28580.36 | Abs. Loss: 432266.73
