Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/13/24 20:37:39] (0.21s) | Epoch: 1 | Batch: 0 (0.201s) | LR: 0.001 | KL Weight: 1 | Loss: 55096.40234375
[07/13/24 20:37:39] (0.31s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 1 | Loss: 54161.15234375
[07/13/24 20:37:39] (0.35s) | Epoch: 1 | Batch: 2 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 51128.82421875
[07/13/24 20:37:39] (0.38s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 41389.765625
[07/13/24 20:37:39] (0.42s) | Epoch: 1 | Batch: 4 (0.027s) | LR: 0.001 | KL Weight: 1 | Loss: 32253.41796875
[07/13/24 20:37:39] (0.45s) | Epoch: 1 | Batch: 5 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 33092.546875
[07/13/24 20:37:39] (0.48s) | Epoch: 1 | Batch: 6 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 31078.771484375
[07/13/24 20:37:39] (0.51s) | Epoch: 1 | Batch: 7 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 30849.302734375
[07/13/24 20:37:39] (0.54s) | Epoch: 1 | Batch: 8 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 31150.3828125
[07/13/24 20:37:39] (0.58s) | Epoch: 1 | Batch: 9 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 29163.033203125
[07/13/24 20:37:39] (0.61s) | Epoch: 1 | Batch: 10 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 29070.650390625
[07/13/24 20:37:39] (0.64s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 28768.671875
[07/13/24 20:37:39] (0.67s) | Epoch: 1 | Batch: 12 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 27812.611328125
[07/13/24 20:37:39] (0.70s) | Epoch: 1 | Batch: 13 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 28254.546875
[07/13/24 20:37:39] (0.73s) | Epoch: 1 | Batch: 14 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 26952.142578125
[07/13/24 20:37:39] (0.76s) | Epoch: 1 | Batch: 15 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 25756.01171875
[07/13/24 20:37:39] (0.79s) | Epoch: 1 | Batch: 16 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 26306.234375
[07/13/24 20:37:39] (0.82s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 22348.33984375
[07/13/24 20:37:39] (0.85s) | Epoch: 1 | Batch: 18 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 24114.982421875
[07/13/24 20:37:39] (0.89s) | Epoch: 1 | Batch: 19 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20870.869140625
[07/13/24 20:37:39] (0.92s) | Epoch: 1 | Batch: 20 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 23401.248046875
[07/13/24 20:37:40] (0.95s) | Epoch: 1 | Batch: 21 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 22284.734375
[07/13/24 20:37:40] (0.98s) | Epoch: 1 | Batch: 22 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 24516.3515625
[07/13/24 20:37:40] (1.01s) | Epoch: 1 | Batch: 23 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 23082.712890625
[07/13/24 20:37:40] (1.04s) | Epoch: 1 | Batch: 24 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20705.30078125
[07/13/24 20:37:40] (1.07s) | Epoch: 1 | Batch: 25 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 23226.24609375
[07/13/24 20:37:40] (1.10s) | Epoch: 1 | Batch: 26 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21371.19921875
[07/13/24 20:37:40] (1.13s) | Epoch: 1 | Batch: 27 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21624.732421875
[07/13/24 20:37:40] (1.16s) | Epoch: 1 | Batch: 28 (0.018s) | LR: 0.001 | KL Weight: 1 | Loss: 21862.203125
[07/13/24 20:37:40] (1.20s) | Epoch: 1 | Batch: 29 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19972.380859375
[07/13/24 20:37:40] (1.23s) | Epoch: 1 | Batch: 30 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 22001.25390625
[07/13/24 20:37:40] (1.26s) | Epoch: 1 | Batch: 31 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20975.955078125
[07/13/24 20:37:40] (1.29s) | Epoch: 1 | Batch: 32 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20629.025390625
[07/13/24 20:37:40] (1.32s) | Epoch: 1 | Batch: 33 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21548.494140625
[07/13/24 20:37:40] (1.35s) | Epoch: 1 | Batch: 34 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21763.068359375
[07/13/24 20:37:40] (1.38s) | Epoch: 1 | Batch: 35 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 21405.966796875
[07/13/24 20:37:40] (1.41s) | Epoch: 1 | Batch: 36 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 20593.54296875
[07/13/24 20:37:40] (1.45s) | Epoch: 1 | Batch: 37 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 20195.30859375
[07/13/24 20:37:40] (1.48s) | Epoch: 1 | Batch: 38 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20022.916015625
[07/13/24 20:37:40] (1.51s) | Epoch: 1 | Batch: 39 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 20507.109375
[07/13/24 20:37:40] (1.54s) | Epoch: 1 | Batch: 40 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 20166.76953125
[07/13/24 20:37:40] (1.57s) | Epoch: 1 | Batch: 41 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19681.1171875
[07/13/24 20:37:40] (1.60s) | Epoch: 1 | Batch: 42 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18618.17578125
[07/13/24 20:37:40] (1.63s) | Epoch: 1 | Batch: 43 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19735.232421875
[07/13/24 20:37:40] (1.66s) | Epoch: 1 | Batch: 44 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 20044.78125
[07/13/24 20:37:40] (1.69s) | Epoch: 1 | Batch: 45 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20551.091796875
[07/13/24 20:37:40] (1.73s) | Epoch: 1 | Batch: 46 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19802.25390625
[07/13/24 20:37:40] (1.76s) | Epoch: 1 | Batch: 47 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18922.048828125
[07/13/24 20:37:40] (1.79s) | Epoch: 1 | Batch: 48 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 20086.7578125
[07/13/24 20:37:40] (1.82s) | Epoch: 1 | Batch: 49 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20046.25
[07/13/24 20:37:40] (1.85s) | Epoch: 1 | Batch: 50 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20448.162109375
[07/13/24 20:37:40] (1.88s) | Epoch: 1 | Batch: 51 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19292.552734375
[07/13/24 20:37:40] (1.91s) | Epoch: 1 | Batch: 52 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19953.685546875
[07/13/24 20:37:41] (1.94s) | Epoch: 1 | Batch: 53 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19952.56640625
[07/13/24 20:37:41] (1.98s) | Epoch: 1 | Batch: 54 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 19992.8671875
[07/13/24 20:37:41] (2.01s) | Epoch: 1 | Batch: 55 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19534.05078125
[07/13/24 20:37:41] (2.04s) | Epoch: 1 | Batch: 56 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19043.33203125
[07/13/24 20:37:41] (2.07s) | Epoch: 1 | Batch: 57 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20106.2578125
[07/13/24 20:37:41] (2.10s) | Epoch: 1 | Batch: 58 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19296.314453125
[07/13/24 20:37:41] (2.13s) | Epoch: 1 | Batch: 59 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19398.578125
[07/13/24 20:37:41] (2.16s) | Epoch: 1 | Batch: 60 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19910.0703125
[07/13/24 20:37:41] (2.19s) | Epoch: 1 | Batch: 61 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19156.685546875
[07/13/24 20:37:41] (2.23s) | Epoch: 1 | Batch: 62 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18047.0390625
[07/13/24 20:37:41] (2.26s) | Epoch: 1 | Batch: 63 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20490.943359375
[07/13/24 20:37:41] (2.29s) | Epoch: 1 | Batch: 64 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18482.673828125
[07/13/24 20:37:41] (2.32s) | Epoch: 1 | Batch: 65 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18615.947265625
[07/13/24 20:37:41] (2.35s) | Epoch: 1 | Batch: 66 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18772.26171875
[07/13/24 20:37:41] (2.38s) | Epoch: 1 | Batch: 67 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19775.599609375
