07/17/24 13:12:41 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 13:12:42 (0.72s) | Epoch: 1 | Batch: 0 (0.711s) | LR: 0.001 | KL Weight: 0.1 | Loss: 1.34
07/17/24 13:12:42 (1.47s) | Epoch: 1 | Batch: 1 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.90
07/17/24 13:12:42 (1.49s) | Epoch: 1 | Batch: 2 (0.007s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.73
07/17/24 13:12:42 (1.51s) | Epoch: 1 | Batch: 3 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.60
07/17/24 13:12:42 (1.52s) | Epoch: 1 | Batch: 4 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.46
07/17/24 13:12:42 (1.54s) | Epoch: 1 | Batch: 5 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.51
07/17/24 13:12:42 (1.55s) | Epoch: 1 | Batch: 6 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.43
07/17/24 13:12:42 (1.57s) | Epoch: 1 | Batch: 7 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.43
07/17/24 13:12:42 (1.59s) | Epoch: 1 | Batch: 8 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.45
07/17/24 13:12:42 (1.60s) | Epoch: 1 | Batch: 9 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.43
07/17/24 13:12:43 (1.62s) | Epoch: 1 | Batch: 10 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.40
07/17/24 13:12:43 (1.63s) | Epoch: 1 | Batch: 11 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.39
07/17/24 13:12:43 (1.65s) | Epoch: 1 | Batch: 12 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.41
07/17/24 13:12:43 (1.67s) | Epoch: 1 | Batch: 13 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.40
07/17/24 13:12:43 (1.68s) | Epoch: 1 | Batch: 14 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.36
07/17/24 13:12:43 (1.70s) | Epoch: 1 | Batch: 15 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.35
07/17/24 13:12:43 (1.71s) | Epoch: 1 | Batch: 16 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.36
07/17/24 13:12:43 (1.73s) | Epoch: 1 | Batch: 17 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.36
07/17/24 13:12:43 (1.75s) | Epoch: 1 | Batch: 18 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.35
07/17/24 13:12:43 (1.76s) | Epoch: 1 | Batch: 19 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.32
07/17/24 13:12:43 (1.78s) | Epoch: 1 | Batch: 20 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.32
07/17/24 13:12:43 (1.80s) | Epoch: 1 | Batch: 21 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.31
07/17/24 13:12:43 (1.81s) | Epoch: 1 | Batch: 22 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.29
07/17/24 13:12:43 (1.83s) | Epoch: 1 | Batch: 23 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.29
07/17/24 13:12:43 (1.85s) | Epoch: 1 | Batch: 24 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:43 (1.86s) | Epoch: 1 | Batch: 25 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.29
07/17/24 13:12:43 (1.88s) | Epoch: 1 | Batch: 26 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:43 (1.90s) | Epoch: 1 | Batch: 27 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (1.91s) | Epoch: 1 | Batch: 28 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:43 (1.93s) | Epoch: 1 | Batch: 29 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.30
07/17/24 13:12:43 (1.95s) | Epoch: 1 | Batch: 30 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:43 (1.96s) | Epoch: 1 | Batch: 31 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.29
07/17/24 13:12:43 (1.98s) | Epoch: 1 | Batch: 32 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:43 (2.00s) | Epoch: 1 | Batch: 33 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.01s) | Epoch: 1 | Batch: 34 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.29
07/17/24 13:12:43 (2.03s) | Epoch: 1 | Batch: 35 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:43 (2.05s) | Epoch: 1 | Batch: 36 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:43 (2.06s) | Epoch: 1 | Batch: 37 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.08s) | Epoch: 1 | Batch: 38 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.10s) | Epoch: 1 | Batch: 39 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.29
07/17/24 13:12:43 (2.11s) | Epoch: 1 | Batch: 40 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.13s) | Epoch: 1 | Batch: 41 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:43 (2.15s) | Epoch: 1 | Batch: 42 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.16s) | Epoch: 1 | Batch: 43 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.18s) | Epoch: 1 | Batch: 44 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.20s) | Epoch: 1 | Batch: 45 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.21s) | Epoch: 1 | Batch: 46 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.23s) | Epoch: 1 | Batch: 47 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.25s) | Epoch: 1 | Batch: 48 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.26s) | Epoch: 1 | Batch: 49 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.28s) | Epoch: 1 | Batch: 50 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.30s) | Epoch: 1 | Batch: 51 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.31s) | Epoch: 1 | Batch: 52 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.33s) | Epoch: 1 | Batch: 53 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.35s) | Epoch: 1 | Batch: 54 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.36s) | Epoch: 1 | Batch: 55 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.38s) | Epoch: 1 | Batch: 56 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.40s) | Epoch: 1 | Batch: 57 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:43 (2.41s) | Epoch: 1 | Batch: 58 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:43 (2.43s) | Epoch: 1 | Batch: 59 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.45s) | Epoch: 1 | Batch: 60 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.46s) | Epoch: 1 | Batch: 61 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:43 (2.48s) | Epoch: 1 | Batch: 62 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:43 (2.50s) | Epoch: 1 | Batch: 63 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.51s) | Epoch: 1 | Batch: 64 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.53s) | Epoch: 1 | Batch: 65 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.55s) | Epoch: 1 | Batch: 66 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.56s) | Epoch: 1 | Batch: 67 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:43 (2.58s) | Epoch: 1 | Batch: 68 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:43 (2.60s) | Epoch: 1 | Batch: 69 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.61s) | Epoch: 1 | Batch: 70 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (2.63s) | Epoch: 1 | Batch: 71 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (2.65s) | Epoch: 1 | Batch: 72 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (2.66s) | Epoch: 1 | Batch: 73 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.68s) | Epoch: 1 | Batch: 74 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.70s) | Epoch: 1 | Batch: 75 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.71s) | Epoch: 1 | Batch: 76 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:44 (2.73s) | Epoch: 1 | Batch: 77 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
