07/27/24 13:33:13 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/27/24 13:33:14 (0m 00s) | [1/15] Batch 0 (0.672s) | LR: 0.001 | KLW: 0, Rec. Loss: 55383.457 | Loss: 55383.46 | Abs. Loss: 55383.46
07/27/24 13:33:14 (0m 01s) | [1/15] Batch 1 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 54097.320 | Loss: 54097.32 | Abs. Loss: 109480.78
07/27/24 13:33:14 (0m 01s) | [1/15] Batch 2 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 47992.914 | Loss: 47992.91 | Abs. Loss: 157473.69
07/27/24 13:33:14 (0m 01s) | [1/15] Batch 3 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 34040.766 | Loss: 34040.77 | Abs. Loss: 191514.46
07/27/24 13:33:14 (0m 01s) | [1/15] Batch 4 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 60241.332 | Loss: 60241.33 | Abs. Loss: 251755.79
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 5 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 32982.770 | Loss: 32982.77 | Abs. Loss: 284738.56
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 6 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 32797.305 | Loss: 32797.30 | Abs. Loss: 317535.86
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 7 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 35947.898 | Loss: 35947.90 | Abs. Loss: 353483.76
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 8 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 36520.301 | Loss: 36520.30 | Abs. Loss: 390004.06
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 9 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 34943.188 | Loss: 34943.19 | Abs. Loss: 424947.25
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 10 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 31946.332 | Loss: 31946.33 | Abs. Loss: 456893.58
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 11 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 29435.918 | Loss: 29435.92 | Abs. Loss: 486329.50
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 12 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 29919.998 | Loss: 29920.00 | Abs. Loss: 516249.50
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 13 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 30733.516 | Loss: 30733.52 | Abs. Loss: 546983.01
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 14 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 27128.861 | Loss: 27128.86 | Abs. Loss: 574111.88
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 15 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 35662.961 | Loss: 35662.96 | Abs. Loss: 609774.84
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 16 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 28097.797 | Loss: 28097.80 | Abs. Loss: 637872.63
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 17 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 29011.395 | Loss: 29011.39 | Abs. Loss: 666884.03
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 18 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27838.393 | Loss: 27838.39 | Abs. Loss: 694722.42
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 19 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 28465.562 | Loss: 28465.56 | Abs. Loss: 723187.98
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 20 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 28204.871 | Loss: 28204.87 | Abs. Loss: 751392.85
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 21 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 27466.342 | Loss: 27466.34 | Abs. Loss: 778859.20
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 22 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 25814.422 | Loss: 25814.42 | Abs. Loss: 804673.62
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 23 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 25863.580 | Loss: 25863.58 | Abs. Loss: 830537.20
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 24 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 25986.180 | Loss: 25986.18 | Abs. Loss: 856523.38
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 25 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23461.680 | Loss: 23461.68 | Abs. Loss: 879985.06
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 26 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 23505.393 | Loss: 23505.39 | Abs. Loss: 903490.45
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 27 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 24855.004 | Loss: 24855.00 | Abs. Loss: 928345.45
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 28 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 24172.074 | Loss: 24172.07 | Abs. Loss: 952517.53
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 29 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 22996.418 | Loss: 22996.42 | Abs. Loss: 975513.95
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 30 (0.004s) | LR: 0.001 | KLW: 0, Rec. Loss: 24419.133 | Loss: 24419.13 | Abs. Loss: 999933.08
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 31 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 23847.916 | Loss: 23847.92 | Abs. Loss: 1023780.99
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 32 (0.005s) | LR: 0.001 | KLW: 0, Rec. Loss: 21168.023 | Loss: 21168.02 | Abs. Loss: 1044949.02
07/27/24 13:33:15 (0m 01s) | [1/15] Batch 33 (0.006s) | LR: 0.001 | KLW: 0, Rec. Loss: 23182.525 | Loss: 23182.53 | Abs. Loss: 1068131.54
