Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:45:55] (0.22s) | Epoch: 1 | Batch: 0 (0.212s) | LR: 0.001 | KL Weight: 0 | Loss: 54238.30078125
[07/16/24 13:45:55] (0.32s) | Epoch: 1 | Batch: 1 (0.013s) | LR: 0.001 | KL Weight: 0 | Loss: 52713.8515625
[07/16/24 13:45:55] (0.36s) | Epoch: 1 | Batch: 2 (0.028s) | LR: 0.001 | KL Weight: 0 | Loss: 46554.390625
[07/16/24 13:45:55] (0.40s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0 | Loss: 34271.6953125
[07/16/24 13:45:55] (0.44s) | Epoch: 1 | Batch: 4 (0.026s) | LR: 0.001 | KL Weight: 0 | Loss: 65326.75390625
[07/16/24 13:45:55] (0.47s) | Epoch: 1 | Batch: 5 (0.025s) | LR: 0.001 | KL Weight: 0 | Loss: 33518.89453125
[07/16/24 13:45:55] (0.50s) | Epoch: 1 | Batch: 6 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 32889.36328125
[07/16/24 13:45:55] (0.54s) | Epoch: 1 | Batch: 7 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 36907.88671875
[07/16/24 13:45:55] (0.57s) | Epoch: 1 | Batch: 8 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 37911.265625
[07/16/24 13:45:55] (0.60s) | Epoch: 1 | Batch: 9 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 35786.4140625
[07/16/24 13:45:55] (0.63s) | Epoch: 1 | Batch: 10 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 32182.55859375
[07/16/24 13:45:55] (0.66s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 28534.89453125
[07/16/24 13:45:55] (0.69s) | Epoch: 1 | Batch: 12 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 30740.83984375
[07/16/24 13:45:55] (0.73s) | Epoch: 1 | Batch: 13 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 34223.91796875
[07/16/24 13:45:55] (0.76s) | Epoch: 1 | Batch: 14 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 30288.60546875
[07/16/24 13:45:55] (0.79s) | Epoch: 1 | Batch: 15 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 30541.19140625
[07/16/24 13:45:55] (0.82s) | Epoch: 1 | Batch: 16 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 28698.859375
[07/16/24 13:45:55] (0.85s) | Epoch: 1 | Batch: 17 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 28960.875
[07/16/24 13:45:55] (0.89s) | Epoch: 1 | Batch: 18 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 28261.6796875
[07/16/24 13:45:55] (0.92s) | Epoch: 1 | Batch: 19 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 29295.34765625
[07/16/24 13:45:56] (0.95s) | Epoch: 1 | Batch: 20 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 27526.26171875
[07/16/24 13:45:56] (0.98s) | Epoch: 1 | Batch: 21 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 26800.646484375
[07/16/24 13:45:56] (1.01s) | Epoch: 1 | Batch: 22 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 26514.10546875
[07/16/24 13:45:56] (1.04s) | Epoch: 1 | Batch: 23 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 23124.05859375
[07/16/24 13:45:56] (1.08s) | Epoch: 1 | Batch: 24 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 23781.927734375
[07/16/24 13:45:56] (1.11s) | Epoch: 1 | Batch: 25 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 22486.7109375
[07/16/24 13:45:56] (1.14s) | Epoch: 1 | Batch: 26 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 26048.640625
[07/16/24 13:45:56] (1.17s) | Epoch: 1 | Batch: 27 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 24501.767578125
[07/16/24 13:45:56] (1.20s) | Epoch: 1 | Batch: 28 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 25984.25
[07/16/24 13:45:56] (1.23s) | Epoch: 1 | Batch: 29 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 23553.74609375
[07/16/24 13:45:56] (1.26s) | Epoch: 1 | Batch: 30 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 22447.232421875
[07/16/24 13:45:56] (1.30s) | Epoch: 1 | Batch: 31 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 23402.6875
[07/16/24 13:45:56] (1.33s) | Epoch: 1 | Batch: 32 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 23977.69921875
[07/16/24 13:45:56] (1.36s) | Epoch: 1 | Batch: 33 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 22089.19921875
[07/16/24 13:45:56] (1.39s) | Epoch: 1 | Batch: 34 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 21568.94140625
[07/16/24 13:45:56] (1.42s) | Epoch: 1 | Batch: 35 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 22479.2890625
[07/16/24 13:45:56] (1.45s) | Epoch: 1 | Batch: 36 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 21766.58203125
[07/16/24 13:45:56] (1.49s) | Epoch: 1 | Batch: 37 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 20763.068359375
[07/16/24 13:45:56] (1.52s) | Epoch: 1 | Batch: 38 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 22302.78515625
[07/16/24 13:45:56] (1.55s) | Epoch: 1 | Batch: 39 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 21051.53515625
[07/16/24 13:45:56] (1.58s) | Epoch: 1 | Batch: 40 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 20513.85546875
[07/16/24 13:45:56] (1.61s) | Epoch: 1 | Batch: 41 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 21766.91015625
[07/16/24 13:45:56] (1.64s) | Epoch: 1 | Batch: 42 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20859.302734375
