Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/15/24 17:18:07] (0.22s) | Epoch: 1 | Batch: 0 (0.211s) | LR: 0.001 | KL Weight: 0.1 | Loss: 54957.26171875
[07/15/24 17:18:07] (0.32s) | Epoch: 1 | Batch: 1 (0.014s) | LR: 0.001 | KL Weight: 0.1 | Loss: 54072.359375
[07/15/24 17:18:07] (0.36s) | Epoch: 1 | Batch: 2 (0.030s) | LR: 0.001 | KL Weight: 0.1 | Loss: 49994.76171875
[07/15/24 17:18:07] (0.40s) | Epoch: 1 | Batch: 3 (0.027s) | LR: 0.001 | KL Weight: 0.1 | Loss: 39569.75390625
[07/15/24 17:18:07] (0.44s) | Epoch: 1 | Batch: 4 (0.029s) | LR: 0.001 | KL Weight: 0.1 | Loss: 37455.82421875
[07/15/24 17:18:08] (0.47s) | Epoch: 1 | Batch: 5 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 34017.875
[07/15/24 17:18:08] (0.50s) | Epoch: 1 | Batch: 6 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29936.62890625
[07/15/24 17:18:08] (0.53s) | Epoch: 1 | Batch: 7 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 30541.7265625
[07/15/24 17:18:08] (0.57s) | Epoch: 1 | Batch: 8 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29441.48046875
[07/15/24 17:18:08] (0.60s) | Epoch: 1 | Batch: 9 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 29045.990234375
[07/15/24 17:18:08] (0.63s) | Epoch: 1 | Batch: 10 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 28007.1640625
[07/15/24 17:18:08] (0.66s) | Epoch: 1 | Batch: 11 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 27505.84765625
[07/15/24 17:18:08] (0.69s) | Epoch: 1 | Batch: 12 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 26056.12109375
[07/15/24 17:18:08] (0.73s) | Epoch: 1 | Batch: 13 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25368.583984375
[07/15/24 17:18:08] (0.76s) | Epoch: 1 | Batch: 14 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 25089.166015625
[07/15/24 17:18:08] (0.79s) | Epoch: 1 | Batch: 15 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24446.08984375
[07/15/24 17:18:08] (0.82s) | Epoch: 1 | Batch: 16 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 22886.251953125
[07/15/24 17:18:08] (0.85s) | Epoch: 1 | Batch: 17 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 24156.208984375
